relation_id,feature
eng-WL-11-174595-12973406_12_52-eng-WL-11-174595-12973406_12_42,INV_BETW_D_[dep : dep]
NYT_ENG_20080223.0157.LDC2009T13_231_44-NYT_ENG_20080223.0157.LDC2009T13_231_32,INV_LENGTHS_[2_2]
APW_ENG_20070828.0077.LDC2009T13_794_76-APW_ENG_20070828.0077.LDC2009T13_794_45,INV_W_NER_L_3_R_1_[PERSON PERSON O]_[O]
NYT_ENG_20070328.0124.LDC2009T13_553_17-NYT_ENG_20070328.0124.LDC2009T13_553_8,INV_BETW_L_[appos appos]
eng-WL-11-174611-12982360_4_32-eng-WL-11-174611-12982360_4_1,"INV_NGRAM_2_[, Gary]"
AFP_ENG_20080916.0499.LDC2009T13_296_8-AFP_ENG_20080916.0499.LDC2009T13_296_11,W_NER_L_2_R_1_[PERSON O]_[O]
eng-WL-11-174598-12964778_4434_111-eng-WL-11-174598-12964778_4434_38,INV_BETW_[dep . dep]
NYT_ENG_20070719.0088.LDC2009T13_468_43-NYT_ENG_20070719.0088.LDC2009T13_468_26,INV_STARTS_WITH_CAPITAL_[True_True]
eng-WL-110-174612-12991749_58_113-eng-WL-110-174612-12991749_58_19,"INV_NGRAM_3_[Ortiz , Jessica]"
100527@12_33-100527@12_20,INV_W_LEMMA_L_3_R_2_[Kathy Bates and]_[- all]
AFP_ENG_20071201.0245.LDC2009T13_147_3-AFP_ENG_20071201.0245.LDC2009T13_147_30,NGRAM_1_[Fourie]
AFP_ENG_20071113.0516.LDC2009T13_351_0-AFP_ENG_20071113.0516.LDC2009T13_351_61,"NGRAM_3_[Victor Matfield ,]"
APW_ENG_20080207.1377.LDC2009T13_202_16-APW_ENG_20080207.1377.LDC2009T13_202_49,NGRAM_3_[a cocktail party]
APW_ENG_20070829.0098.LDC2009T13_207_65-APW_ENG_20070829.0098.LDC2009T13_207_11,INV_NGRAM_1_[Serena]
154431@2_71-154431@2_164,NGRAM_2_[Tampa Bay]
NYT_ENG_20071121.0097.LDC2009T13_808_7-NYT_ENG_20071121.0097.LDC2009T13_808_23,"NGRAM_3_[, he and]"
eng-WL-107-174567-12933275_122_33-eng-WL-107-174567-12933275_122_51,"W_LEMMA_L_3_R_3_[likes of the]_[, Gisele Bundchen]"
eng-NG-31-102747-11002994_118_4-eng-NG-31-102747-11002994_118_15,"NGRAM_1_[,]"
APW_ENG_20080901.0261.LDC2009T13_219_9-APW_ENG_20080901.0261.LDC2009T13_219_13,"LEMMA_SEQ_[, the]"
eng-WL-11-174595-12967066_518_27-eng-WL-11-174595-12967066_518_6,IS_INVERTED
45661@0_23-45661@0_44,LENGTHS_[2_2]
93900@51_10-93900@51_17,NGRAM_1_[say]
154431@2_189-154431@2_66,INV_NGRAM_2_[Rep. Darryl]
153636@19_2-153636@19_90,NGRAM_1_[exist]
eng-WL-11-174596-12952497_81_12-eng-WL-11-174596-12952497_81_17,"W_LEMMA_L_1_R_2_[as]_[, that]"
APW_ENG_20080715.1398.LDC2009T13_564_19-APW_ENG_20080715.1398.LDC2009T13_564_0,INV_W_NER_L_1_R_1_[O]_[O]
eng-WL-110-174612-12992397_65_59-eng-WL-110-174612-12992397_65_12,INV_NGRAM_1_[Pharrell]
APW_ENG_20081121.0135.LDC2009T13_462_8-APW_ENG_20081121.0135.LDC2009T13_462_35,"NGRAM_3_[, Andrea Marcato]"
eng-NG-31-142889-10109361_220_39-eng-NG-31-142889-10109361_220_27,INV_NGRAM_1_[tribe]
LTW_ENG_19960820.0031.LDC2007T07_222_19-LTW_ENG_19960820.0031.LDC2007T07_222_40,W_NER_L_1_R_1_[O]_[O]
eng-WL-11-174595-12971749_6_43-eng-WL-11-174595-12971749_6_16,INV_NGRAM_1_[night]
APW_ENG_20081017.0951.LDC2009T13_889_4-APW_ENG_20081017.0951.LDC2009T13_889_11,NGRAM_2_[York Mayor]
AFP_ENG_20080825.0064.LDC2009T13_444_46-AFP_ENG_20080825.0064.LDC2009T13_444_13,INV_BETW_D_[dep . dep]
eng-NG-31-126896-12059694_494_1-eng-NG-31-126896-12059694_494_3,W_NER_L_2_R_3_[O O]_[O O O]
eng-WL-11-174595-12968844_62_7-eng-WL-11-174595-12968844_62_32,NGRAM_1_[show]
LTW_ENG_20070414.0071.LDC2009T13_1143_0-LTW_ENG_20070414.0071.LDC2009T13_1143_25,NGRAM_3_[coach on ``]
APW_ENG_20070327.1453.LDC2009T13_426_21-APW_ENG_20070327.1453.LDC2009T13_426_26,NGRAM_1_[74]
eng-WL-11-174643-12999808_455_0-eng-WL-11-174643-12999808_455_15,W_NER_L_2_R_3_[STATE_OR_PROVINCE O]_[O O O]
23932@33_5-23932@33_53,W_LEMMA_L_3_R_2_[the Obama and]_[of North]
CNA_ENG_20081226.0040.LDC2009T13_190_48-CNA_ENG_20081226.0040.LDC2009T13_190_51,W_NER_L_1_R_3_[O]_[O O O]
eng-WL-110-174612-12991749_58_140-eng-WL-110-174612-12991749_58_10,INV_NGRAM_1_[Darkchild]
eng-WL-11-174594-12963322_0_9-eng-WL-11-174594-12963322_0_3,INV_NGRAM_2_[about to]
eng-WL-110-174612-12993715_71_78-eng-WL-110-174612-12993715_71_41,"INV_WORD_SEQ_[, Chante Moore -RRB- , Sean Garrett -LRB- Janet Jackson , Beyonce -RRB- , Harold Lilly -LRB- Jamie Foxx , Trey Songz -RRB- , Bryan Michael Cox -LRB- Claudette Ortiz , Faith Evans -RRB- ,]"
134252@16_3-134252@16_36,"NGRAM_2_[, say]"
APW_ENG_20070410.1347.LDC2009T13_242_7-APW_ENG_20070410.1347.LDC2009T13_242_0,INV_W_NER_L_1_R_3_[O]_[O STATE_OR_PROVINCE O]
eng-WL-108-174569-12987494_105_16-eng-WL-108-174569-12987494_105_66,NGRAM_3_[; Kimberly and]
eng-WL-11-174611-12981674_58_33-eng-WL-11-174611-12981674_58_5,"INV_NGRAM_2_[, Christian]"
LTW_ENG_20080414.0019.LDC2009T13_958_42-LTW_ENG_20080414.0019.LDC2009T13_958_8,INV_KW_L_[dep dep]_[dep dep]
eng-WL-110-174612-12993147_42_25-eng-WL-110-174612-12993147_42_56,"W_LEMMA_L_2_R_3_[Amerie ,]_[-lrb- Christina Aguilera]"
AFP_ENG_20070827.0576.LDC2009T13_904_9-AFP_ENG_20070827.0576.LDC2009T13_904_3,INV_WORD_SEQ_[and six-time Slam winner]
APW_ENG_20070424.1052.LDC2009T13_20_0-APW_ENG_20070424.1052.LDC2009T13_20_13,BETW_D_[nsubj give dobj surname prep_of ex dep]
eng-WL-110-174612-12993170_210_31-eng-WL-110-174612-12993170_210_38,"W_LEMMA_L_3_R_2_[Sterling Simms ,]_[, Brooke]"
LTW_ENG_20080927.0053.LDC2009T13_191_13-LTW_ENG_20080927.0053.LDC2009T13_191_28,"NGRAM_3_[they daughter ,]"
APW_ENG_20070910.1186.LDC2009T13_897_15-APW_ENG_20070910.1186.LDC2009T13_897_6,INV_NGRAM_3_[deaf rape victim]
APW_ENG_20071127.1617.LDC2009T13_305_52-APW_ENG_20071127.1617.LDC2009T13_305_37,"INV_WORD_SEQ_[, Denesh Ramdin , Darren Sammy , Marlon Samuels , Devon Smith ,]"
eng-WL-11-174595-12968357_82_3-eng-WL-11-174595-12968357_82_13,NGRAM_1_[the]
eng-WL-11-174595-12971564_8_22-eng-WL-11-174595-12971564_8_15,INV_W_NER_L_3_R_3_[O O O]_[O O O]
135549@25_12-135549@25_16,KW_D_[poss grandfather prep_of]_[appos grandfather prep_of]
