doc_id,id,mid1,mid2,word1,word2,rel,is_correct,category,expectation
APW_ENG_20071116.0402.LDC2009T13,231952,APW_ENG_20071116.0402.LDC2009T13_820_829,APW_ENG_20071116.0402.LDC2009T13_765_777,hankyoreh,kim byung-su,org:founded_by,,1,0.97
APW_ENG_20070407.0622.LDC2009T13,285453,APW_ENG_20070407.0622.LDC2009T13_3678_3693,APW_ENG_20070407.0622.LDC2009T13_3668_3677,felipe calderon,president,per:title,,1,1
eng-WL-11-174584-12961405,86209,eng-WL-11-174584-12961405_10840_10846,eng-WL-11-174584-12961405_10806_10813,margie,juanita,per:spouse,,1,0.906
NYT_ENG_20070414.0032.LDC2009T13,219888,NYT_ENG_20070414.0032.LDC2009T13_565_582,NYT_ENG_20070414.0032.LDC2009T13_498_504,old lane partners,pandit,org:founded_by,,1,0.984
NYT_ENG_20080422.0012.LDC2009T13,237609,NYT_ENG_20080422.0012.LDC2009T13_1305_1317,NYT_ENG_20080422.0012.LDC2009T13_1342_1351,lee jae-yong,executive,per:title,,1,0.988
NYT_ENG_20071119.0253.LDC2009T13,331272,NYT_ENG_20071119.0253.LDC2009T13_2476_2490,NYT_ENG_20071119.0253.LDC2009T13_2468_2474,lee byung-chul,father,per:title,,1,0.936
eng-WL-11-174595-12968318,207192,eng-WL-11-174595-12968318_16830_16844,eng-WL-11-174595-12968318_16781_16785,house of blues,pink,org:founded_by,,1,0.952
eng-WL-11-174598-12964855,112923,eng-WL-11-174598-12964855_5725_5731,eng-WL-11-174598-12964855_5786_5791,brooke,actor,per:title,,1,0.932
AFP_ENG_20070116.0444.LDC2009T13,303717,AFP_ENG_20070116.0444.LDC2009T13_955_966,AFP_ENG_20070116.0444.LDC2009T13_945_954,hugo chavez,president,per:title,,1,1
LTW_ENG_20070112.0012.LDC2009T13,279516,LTW_ENG_20070112.0012.LDC2009T13_4639_4643,LTW_ENG_20070112.0012.LDC2009T13_4692_4696,dodd,host,per:title,,1,1
LTW_ENG_20080103.0039.LDC2009T13,176329,LTW_ENG_20080103.0039.LDC2009T13_4912_4924,LTW_ENG_20080103.0039.LDC2009T13_4941_4950,jamie bearse,president,per:title,,1,0.904
LTW_ENG_20070501.0145.LDC2009T13,11011,LTW_ENG_20070501.0145.LDC2009T13_3886_3900,LTW_ENG_20070501.0145.LDC2009T13_3859_3867,randall tobias,reporter,per:title,,1,0.922
NYT_ENG_20070401.0041.LDC2009T13,277698,NYT_ENG_20070401.0041.LDC2009T13_2514_2519,NYT_ENG_20070401.0041.LDC2009T13_2606_2615,clark,developer,per:title,,1,0.938
LTW_ENG_20080717.0151.LDC2009T13,92223,LTW_ENG_20080717.0151.LDC2009T13_2337_2343,LTW_ENG_20080717.0151.LDC2009T13_2420_2430,kimmel,matt damon,per:spouse,,1,0.994
eng-WL-11-174595-12968276,70750,eng-WL-11-174595-12968276_18362_18371,eng-WL-11-174595-12968276_18300_18305,columbine,sater,org:founded_by,,1,0.976
NYT_ENG_20071025.0301.LDC2009T13,299258,NYT_ENG_20071025.0301.LDC2009T13_5289_5301,NYT_ENG_20071025.0301.LDC2009T13_5283_5288,lori betcher,nurse,per:title,,1,1
APW_ENG_20070527.0852.LDC2009T13,155525,APW_ENG_20070527.0852.LDC2009T13_3803_3807,APW_ENG_20070527.0852.LDC2009T13_3713_3727,rctv,briceida rivas,org:founded_by,,1,0.976
eng-NG-31-143446-10242382,42315,eng-NG-31-143446-10242382_1940_1954,eng-NG-31-143446-10242382_1930_1939,george w. bush,president,per:title,,1,1
NYT_ENG_20070328.0065.LDC2009T13,78465,NYT_ENG_20070328.0065.LDC2009T13_7567_7592,NYT_ENG_20070328.0065.LDC2009T13_7552_7557,black coaches association,keith,org:founded_by,,1,0.958
APW_ENG_20071127.1058.LDC2009T13,220733,APW_ENG_20071127.1058.LDC2009T13_2035_2052,APW_ENG_20071127.1058.LDC2009T13_1970_1989,david rockefeller,annette de la renta,per:spouse,,1,0.97
eng-WL-11-174595-12967989,193627,eng-WL-11-174595-12967989_10764_10775,eng-WL-11-174595-12967989_10780_10786,wyclef jean,eminem,per:spouse,,1,0.99
eng-WL-11-174572-12946700,25754,eng-WL-11-174572-12946700_376_389,eng-WL-11-174572-12946700_394_403,kelly cutrone,roxy olin,per:spouse,,1,0.976
NYT_ENG_20081201.0179.LDC2009T13,205719,NYT_ENG_20081201.0179.LDC2009T13_1022_1034,NYT_ENG_20081201.0179.LDC2009T13_1079_1085,bryan fuller,writer,per:title,,1,0.974
eng-WL-11-174595-12968423,45908,eng-WL-11-174595-12968423_15374_15387,eng-WL-11-174595-12968423_15354_15366,kylie minogue,darren hayes,per:spouse,,1,0.902
APW_ENG_20081015.0536.LDC2009T13,115001,APW_ENG_20081015.0536.LDC2009T13_2957_2971,APW_ENG_20081015.0536.LDC2009T13_2976_2989,paul mccartney,heather mills,per:spouse,,1,0.984
AFP_ENG_20080505.0539.LDC2009T13,326927,AFP_ENG_20080505.0539.LDC2009T13_3825_3842,AFP_ENG_20080505.0539.LDC2009T13_3790_3800,consumer watchdog,judy dugan,org:founded_by,,1,0.98
eng-WL-11-174611-12981826,318569,eng-WL-11-174611-12981826_1608_1611,eng-WL-11-174611-12981826_1564_1571,afa,wildmon,org:founded_by,,1,0.984
eng-WL-11-174598-12964673,293743,eng-WL-11-174598-12964673_33539_33543,eng-WL-11-174598-12964673_33548_33553,lori,venus,per:spouse,,1,0.994
APW_ENG_20081108.0481.LDC2009T13,95438,APW_ENG_20081108.0481.LDC2009T13_3947_3954,APW_ENG_20081108.0481.LDC2009T13_3959_3976,lincoln,mario diaz-balart,per:spouse,,1,0.904
AFP_ENG_20081125.0833.LDC2009T13,97820,AFP_ENG_20081125.0833.LDC2009T13_1305_1316,AFP_ENG_20081125.0833.LDC2009T13_1290_1296,globovision,garcia,org:founded_by,,1,0.91
AFP_ENG_20070315.0103.LDC2009T13,167103,AFP_ENG_20070315.0103.LDC2009T13_488_499,AFP_ENG_20070315.0103.LDC2009T13_464_471,guy ritchie,madonna,per:spouse,,1,0.938
eng-WL-11-174598-12964855,109972,eng-WL-11-174598-12964855_11732_11735,eng-WL-11-174598-12964855_11748_11753,bob,chief,per:title,,1,0.92
eng-WL-11-174611-12980381,44826,eng-WL-11-174611-12980381_1049_1055,eng-WL-11-174611-12980381_1039_1044,portia,ellen,per:spouse,,1,0.916
LTW_ENG_20080717.0122.LDC2009T13,279177,LTW_ENG_20080717.0122.LDC2009T13_385_397,LTW_ENG_20080717.0122.LDC2009T13_369_380,barack obama,john mccain,per:spouse,,1,0.958
eng-WL-11-174595-12968344,184290,eng-WL-11-174595-12968344_6757_6762,eng-WL-11-174595-12968344_6593_6606,becks,david beckham,org:founded_by,,1,0.996
APW_ENG_20080214.1798.LDC2009T13,12041,APW_ENG_20080214.1798.LDC2009T13_411_418,APW_ENG_20080214.1798.LDC2009T13_294_301,grammys,beyonce,org:founded_by,,1,0.984
eng-WL-11-174608-12979911,98792,eng-WL-11-174608-12979911_68913_68927,eng-WL-11-174608-12979911_68944_68951,schwarzenegger,kennedy,per:spouse,,1,0.904
eng-WL-11-174596-12959735,66522,eng-WL-11-174596-12959735_759_773,eng-WL-11-174596-12959735_737_754,robert s. knox,david h. douglass,per:spouse,,1,0.982
NYT_ENG_20081201.0179.LDC2009T13,208831,NYT_ENG_20081201.0179.LDC2009T13_1090_1093,NYT_ENG_20081201.0179.LDC2009T13_1022_1034,nbc,bryan fuller,org:founded_by,,1,0.948
AFP_ENG_20080720.0208.LDC2009T13,62626,AFP_ENG_20080720.0208.LDC2009T13_504_511,AFP_ENG_20080720.0208.LDC2009T13_485_498,renault,nelson piquet,org:founded_by,,1,0.942
NYT_ENG_20070820.0108.LDC2009T13,38164,NYT_ENG_20070820.0108.LDC2009T13_2056_2059,NYT_ENG_20070820.0108.LDC2009T13_2096_2100,nbc,maya,org:founded_by,,1,0.918
NYT_ENG_20070704.0133.LDC2009T13,33672,NYT_ENG_20070704.0133.LDC2009T13_1549_1559,NYT_ENG_20070704.0133.LDC2009T13_1565_1574,peter roth,president,per:title,,1,0.968
APW_ENG_20071005.0104.LDC2009T13,343689,APW_ENG_20071005.0104.LDC2009T13_1918_1931,APW_ENG_20071005.0104.LDC2009T13_1912_1917,tony shalhoub,actor,per:title,,1,1
eng-WL-11-174595-12968465,324385,eng-WL-11-174595-12968465_10244_10266,eng-WL-11-174595-12968465_10221_10226,hyundai club challenge,becks,org:founded_by,,1,0.934
NYT_ENG_20081109.0038.LDC2009T13,212997,NYT_ENG_20081109.0038.LDC2009T13_3461_3485,NYT_ENG_20081109.0038.LDC2009T13_3430_3444,ownit mortgage solutions,william dallas,org:founded_by,,1,0.98
XIN_ENG_20070421.0033.LDC2009T13,284859,XIN_ENG_20070421.0033.LDC2009T13_285_308,XIN_ENG_20070421.0033.LDC2009T13_318_330,chinese communist party,wu guanzheng,org:founded_by,,1,0.938
APW_ENG_20071127.1058.LDC2009T13,221810,APW_ENG_20071127.1058.LDC2009T13_2119_2134,APW_ENG_20071127.1058.LDC2009T13_1970_1989,philip marshall,annette de la renta,per:spouse,,1,0.922
eng-NG-31-142161-10036565,218356,eng-NG-31-142161-10036565_2714_2719,eng-NG-31-142161-10036565_2650_2667,cantv,socorro hernandez,org:founded_by,,1,0.972
eng-WL-11-174595-12968036,184710,eng-WL-11-174595-12968036_7189_7215,eng-WL-11-174595-12968036_7262_7267,mummy spice ... with spice,mel b,org:founded_by,,1,0.968
NYT_ENG_20080401.0197.LDC2009T13,73552,NYT_ENG_20080401.0197.LDC2009T13_2232_2249,NYT_ENG_20080401.0197.LDC2009T13_2189_2209,washington mutual,william a. longbrake,org:founded_by,,1,0.976
NYT_ENG_20071010.0023.LDC2009T13,26625,NYT_ENG_20071010.0023.LDC2009T13_4462_4489,NYT_ENG_20071010.0023.LDC2009T13_4420_4434,american family association,donald wildmon,org:founded_by,t,1,0.998
eng-WL-11-174611-12980028,21354,eng-WL-11-174611-12980028_2024_2030,eng-WL-11-174611-12980028_1881_1885,senate,buse,org:founded_by,,1,0.99
AFP_ENG_20071020.0260.LDC2009T13,269923,AFP_ENG_20071020.0260.LDC2009T13_3723_3749,AFP_ENG_20071020.0260.LDC2009T13_3793_3800,ayatollah morteza motahari,founder,per:title,,1,0.994
eng-WL-107-174567-12933827,23465,eng-WL-107-174567-12933827_283_297,eng-WL-107-174567-12933827_341_353,britney spears,sean preston,per:spouse,,1,0.952
APW_ENG_20070217.0243.LDC2009T13,316646,APW_ENG_20070217.0243.LDC2009T13_2676_2694,APW_ENG_20070217.0243.LDC2009T13_2716_2720,florida republican,raul,org:founded_by,,1,0.962
AFP_ENG_20080514.0663.LDC2009T13,190804,AFP_ENG_20080514.0663.LDC2009T13_1136_1155,AFP_ENG_20080514.0663.LDC2009T13_1089_1100,samsung electronics,lee kun-hee,org:founded_by,,1,0.984
APW_ENG_20071005.0104.LDC2009T13,342511,APW_ENG_20071005.0104.LDC2009T13_400_411,APW_ENG_20071005.0104.LDC2009T13_393_399,kieran kane,singer,per:title,,1,1
APW_ENG_20071106.0071.LDC2009T13,140387,APW_ENG_20071106.0071.LDC2009T13_4302_4340,APW_ENG_20071106.0071.LDC2009T13_4264_4278,new york college of health professions,barbara carver,org:founded_by,,1,0.996
CNA_ENG_20081117.0010.LDC2009T13,269331,CNA_ENG_20081117.0010.LDC2009T13_1493_1535,CNA_ENG_20081117.0010.LDC2009T13_1451_1461,foreign workers ' counseling service center,wendy tsai,org:founded_by,,1,0.984
XIN_ENG_20070227.0228.LDC2009T13,90736,XIN_ENG_20070227.0228.LDC2009T13_417_430,XIN_ENG_20070227.0228.LDC2009T13_479_490,bernama board,azman ujang,org:founded_by,,1,0.942
APW_ENG_20070505.0155.LDC2009T13,143116,APW_ENG_20070505.0155.LDC2009T13_2346_2353,APW_ENG_20070505.0155.LDC2009T13_2360_2373,palfrey,harlan ullman,per:spouse,,1,0.926
APW_ENG_20070925.0234.LDC2009T13,331181,APW_ENG_20070925.0234.LDC2009T13_6495_6513,APW_ENG_20070925.0234.LDC2009T13_6518_6534,qassim abdul-zahra,tarek el-tablawy,per:spouse,,1,0.96
XIN_ENG_20080304.0475.LDC2009T13,120124,XIN_ENG_20080304.0475.LDC2009T13_1622_1635,XIN_ENG_20080304.0475.LDC2009T13_1612_1621,rafael correa,president,per:title,,1,0.998
XIN_ENG_20070111.0364.LDC2009T13,208610,XIN_ENG_20070111.0364.LDC2009T13_1289_1305,XIN_ENG_20070111.0364.LDC2009T13_1395_1410,democratic party,dennis kucinich,org:founded_by,,1,0.932
APW_ENG_20070223.1432.LDC2009T13,159312,APW_ENG_20070223.1432.LDC2009T13_1031_1039,APW_ENG_20070223.1432.LDC2009T13_1011_1018,tal cual,marquez,org:founded_by,,1,0.946
eng-NG-31-135941-12178786,298975,eng-NG-31-135941-12178786_685_692,eng-NG-31-135941-12178786_648_656,bernama,mahathir,org:founded_by,,1,0.936
NYT_ENG_20080816.0155.LDC2009T13,212624,NYT_ENG_20080816.0155.LDC2009T13_4578_4621,NYT_ENG_20080816.0155.LDC2009T13_4908_4913,city department of environmental protection,bovis,org:parents,,1,0.942
APW_ENG_20080824.0758.LDC2009T13,142613,APW_ENG_20080824.0758.LDC2009T13_2653_2658,APW_ENG_20080824.0758.LDC2009T13_2673_2695,obama,hillary rodham clinton,per:spouse,,1,0.916
AFP_ENG_20070315.0103.LDC2009T13,166687,AFP_ENG_20070315.0103.LDC2009T13_464_471,AFP_ENG_20070315.0103.LDC2009T13_488_499,madonna,guy ritchie,per:spouse,,1,0.964
eng-WL-11-174595-12968455,33887,eng-WL-11-174595-12968455_1777_1789,eng-WL-11-174595-12968455_1804_1814,idina menzel,taye diggs,per:spouse,,1,0.984
AFP_ENG_20080522.5008.LDC2009T13,255785,AFP_ENG_20080522.5008.LDC2009T13_1909_1912,AFP_ENG_20080522.5008.LDC2009T13_1929_1942,bmw,robert kubica,org:founded_by,,1,0.944
APW_ENG_20070508.1310.LDC2009T13,43701,APW_ENG_20070508.1310.LDC2009T13_1333_1342,APW_ENG_20070508.1310.LDC2009T13_1369_1373,pillsbury,watt,org:founded_by,,1,0.924
eng-WL-11-174611-12983680,316489,eng-WL-11-174611-12983680_719_723,eng-WL-11-174611-12983680_631_644,lgbt,micah kellner,org:founded_by,,1,0.984
eng-WL-11-174595-12968566,308766,eng-WL-11-174595-12968566_19815_19821,eng-WL-11-174595-12968566_19889_19893,candie,kohl,org:founded_by,,1,0.94
APW_ENG_20071020.0664.LDC2009T13,313278,APW_ENG_20071020.0664.LDC2009T13_3060_3079,APW_ENG_20071020.0664.LDC2009T13_3055_3059,mahmoud chaharbaghi,gen.,per:title,,1,0.998
eng-WL-11-174592-12942479,254791,eng-WL-11-174592-12942479_1963_1977,eng-WL-11-174592-12942479_2055_2066,michael vartan,josh malina,per:spouse,,1,0.942
NYT_ENG_20081201.0179.LDC2009T13,204355,NYT_ENG_20081201.0179.LDC2009T13_1728_1731,NYT_ENG_20081201.0179.LDC2009T13_1598_1601,abc,fox,org:founded_by,,1,0.996
NYT_ENG_20070814.0093.LDC2009T13,215577,NYT_ENG_20070814.0093.LDC2009T13_4313_4319,NYT_ENG_20070814.0093.LDC2009T13_4193_4200,flaggs,spencer,org:founded_by,,1,0.974
NYT_ENG_20070917.0011.LDC2009T13,52803,NYT_ENG_20070917.0011.LDC2009T13_375_388,NYT_ENG_20070917.0011.LDC2009T13_366_374,deval patrick,governor,per:title,t,1,0.922
NYT_ENG_20081109.0038.LDC2009T13,217487,NYT_ENG_20081109.0038.LDC2009T13_16076_16089,NYT_ENG_20081109.0038.LDC2009T13_16149_16172,john a. thain,new york stock exchange,per:employee_or_member_of,,1,0.916
NYT_ENG_20071109.0258.LDC2009T13,145953,NYT_ENG_20071109.0258.LDC2009T13_2344_2353,NYT_ENG_20071109.0258.LDC2009T13_2367_2370,silverman,nbc,per:employee_or_member_of,,1,0.96
LTW_ENG_20070805.0017.LDC2009T13,270847,LTW_ENG_20070805.0017.LDC2009T13_8163_8170,LTW_ENG_20070805.0017.LDC2009T13_8077_8092,clinton,hillary clinton,per:spouse,,1,0.91
AFP_ENG_20081113.0454.LDC2009T13,189225,AFP_ENG_20081113.0454.LDC2009T13_2656_2663,AFP_ENG_20081113.0454.LDC2009T13_2689_2700,clinton,congressman,per:title,,1,0.996
APW_ENG_20070911.0280.LDC2009T13,25191,APW_ENG_20070911.0280.LDC2009T13_1948_1962,APW_ENG_20070911.0280.LDC2009T13_1996_2001,george w. bush,chief,per:title,,1,0.98
eng-WL-11-174595-12968490,32261,eng-WL-11-174595-12968490_10440_10443,eng-WL-11-174595-12968490_10300_10314,mtv,chace crawford,org:founded_by,,1,0.988
eng-WL-11-174611-12980028,18595,eng-WL-11-174611-12980028_3576_3580,eng-WL-11-174611-12980028_3516_3529,buse,sharon mchale,per:spouse,,1,0.926
eng-WL-110-174626-12995831,87936,eng-WL-110-174626-12995831_3260_3266,eng-WL-110-174626-12995831_3318_3324,disney,jordin,org:founded_by,,1,0.946
eng-WL-11-174572-12947296,321145,eng-WL-11-174572-12947296_500_504,eng-WL-11-174572-12947296_553_559,elle,editor,per:title,,1,1
APW_ENG_20071116.0402.LDC2009T13,232655,APW_ENG_20071116.0402.LDC2009T13_4529_4540,APW_ENG_20071116.0402.LDC2009T13_4551_4558,roh tae-woo,general,per:title,,1,0.97
AFP_ENG_20060911.0525.LDC2007T07,215199,AFP_ENG_20060911.0525.LDC2007T07_4293_4310,AFP_ENG_20060911.0525.LDC2007T07_4287_4292,mohamed elbaradei,chief,per:title,,1,1
eng-WL-11-174589-12939485,103017,eng-WL-11-174589-12939485_446_457,eng-WL-11-174589-12939485_605_620,the raleigh,frankie delgado,org:founded_by,,1,0.904
APW_ENG_20080528.0816.LDC2009T13,187815,APW_ENG_20080528.0816.LDC2009T13_1619_1626,APW_ENG_20080528.0816.LDC2009T13_1607_1614,ritchie,madonna,per:spouse,,1,0.964
eng-NG-31-102460-11644955,257093,eng-NG-31-102460-11644955_747_758,eng-NG-31-102460-11644955_858_862,countrywide,dodd,org:founded_by,,1,0.988
AFP_ENG_20070725.0013.LDC2009T13,186000,AFP_ENG_20070725.0013.LDC2009T13_348_359,AFP_ENG_20070725.0013.LDC2009T13_257_265,hugo chavez,minister,per:title,,1,0.998
eng-WL-11-174595-12968146,245298,eng-WL-11-174595-12968146_10361_10373,eng-WL-11-174595-12968146_10268_10273,heidi montag,brody,per:spouse,,1,0.906
APW_ENG_20081015.0536.LDC2009T13,113611,APW_ENG_20081015.0536.LDC2009T13_2208_2215,APW_ENG_20081015.0536.LDC2009T13_2220_2227,madonna,ritchie,per:spouse,,1,0.976
APW_ENG_20080207.0141.LDC2009T13,150690,APW_ENG_20080207.0141.LDC2009T13_6167_6180,APW_ENG_20080207.0141.LDC2009T13_6189_6195,padma lakshmi,driver,per:title,,1,1
AFP_ENG_20070111.0595.LDC2009T13,229849,AFP_ENG_20070111.0595.LDC2009T13_1408_1419,AFP_ENG_20070111.0595.LDC2009T13_1399_1407,tom vilsack,governor,per:title,t,1,1
APW_ENG_20070220.1017.LDC2009T13,171838,APW_ENG_20070220.1017.LDC2009T13_4540_4551,APW_ENG_20070220.1017.LDC2009T13_4504_4529,mitch hecht,international steel group,per:employee_or_member_of,,1,0.91
eng-WL-11-174595-12967989,195444,eng-WL-11-174595-12967989_5608_5623,eng-WL-11-174595-12967989_5570_5587,peter sarsgaard,maggie gyllenhaal,per:spouse,,1,0.992
eng-WL-11-174572-12949033,264150,eng-WL-11-174572-12949033_192_197,eng-WL-11-174572-12949033_173_188,heidi,stephanie pratt,per:spouse,,1,0.912
NYT_ENG_20070215.0017.LDC2009T13,144001,NYT_ENG_20070215.0017.LDC2009T13_3791_3799,NYT_ENG_20070215.0017.LDC2009T13_3712_3720,ellerman,attorney,per:title,,1,0.966
eng-WL-11-174611-12982903,185029,eng-WL-11-174611-12982903_745_756,eng-WL-11-174611-12982903_730_735,julian bond,naacp,per:employee_or_member_of,,1,0.974
APW_ENG_20071114.0999.LDC2009T13,45857,APW_ENG_20071114.0999.LDC2009T13_443_456,APW_ENG_20071114.0999.LDC2009T13_495_510,meredith grey,record producer,per:title,,1,1
APW_ENG_20071114.0999.LDC2009T13,45549,APW_ENG_20071114.0999.LDC2009T13_861_873,APW_ENG_20071114.0999.LDC2009T13_848_860,patti harris,deputy mayor,per:title,,1,1
eng-WL-11-174595-12967989,196753,eng-WL-11-174595-12967989_1511_1518,eng-WL-11-174595-12967989_1409_1418,youtube,federline,org:founded_by,,1,0.938
eng-WL-11-174595-12968276,74785,eng-WL-11-174595-12968276_24627_24632,eng-WL-11-174595-12968276_24620_24626,harry,prince,per:title,,1,0.998
NYT_ENG_20070328.0065.LDC2009T13,80065,NYT_ENG_20070328.0065.LDC2009T13_4592_4599,NYT_ENG_20070328.0065.LDC2009T13_4654_4661,harvard,sanders,org:founded_by,,1,0.962
NYT_ENG_20081229.0204.LDC2009T13,242078,NYT_ENG_20081229.0204.LDC2009T13_8152_8157,NYT_ENG_20081229.0204.LDC2009T13_8163_8169,globe,vitale,org:founded_by,,1,0.932
eng-WL-11-174598-12964778,201177,eng-WL-11-174598-12964778_72406_72410,eng-WL-11-174598-12964778_72314_72318,sita,raja,org:founded_by,,1,0.986
AFP_ENG_20070911.0245.LDC2009T13,208676,AFP_ENG_20070911.0245.LDC2009T13_679_685,AFP_ENG_20070911.0245.LDC2009T13_640_648,senate,petraeus,org:founded_by,,1,0.976
