person1_id,person2_id,sentence_id,description,is_true,relation_id,id
LTW_ENG_20071024.0150.LDC2009T13_385_38,LTW_ENG_20071024.0150.LDC2009T13_385_30,LTW_ENG_20071024.0150.LDC2009T13_385,John McCain-Cindy McCain,t,LTW_ENG_20071024.0150.LDC2009T13_385_38-LTW_ENG_20071024.0150.LDC2009T13_385_30,163356
eng-WL-11-174577-12937313_13_6,eng-WL-11-174577-12937313_13_22,eng-WL-11-174577-12937313_13,Michael Lohan-Dina Lohan,t,eng-WL-11-174577-12937313_13_6-eng-WL-11-174577-12937313_13_22,143042
eng-NG-31-102599-10990439_215_6,eng-NG-31-102599-10990439_215_3,eng-NG-31-102599-10990439_215,Charlie Robison-Emily Robison,t,eng-NG-31-102599-10990439_215_6-eng-NG-31-102599-10990439_215_3,256209
eng-WL-107-174567-12933490_10_13,eng-WL-107-174567-12933490_10_16,eng-WL-107-174567-12933490_10,Amy Winehouse-Blake Fielder-Civil,t,eng-WL-107-174567-12933490_10_13-eng-WL-107-174567-12933490_10_16,102906
NYT_ENG_20071114.0082.LDC2009T13_94_29,NYT_ENG_20071114.0082.LDC2009T13_94_18,NYT_ENG_20071114.0082.LDC2009T13_94,Joel Osteen-Victoria Osteen,t,NYT_ENG_20071114.0082.LDC2009T13_94_29-NYT_ENG_20071114.0082.LDC2009T13_94_18,91397
XIN_ENG_20070402.0131.LDC2009T13_502_12,XIN_ENG_20070402.0131.LDC2009T13_502_16,XIN_ENG_20070402.0131.LDC2009T13_502,Mao Anqing-Shao Hua,t,XIN_ENG_20070402.0131.LDC2009T13_502_12-XIN_ENG_20070402.0131.LDC2009T13_502_16,245823
eng-WL-11-174595-12968184_710_6,eng-WL-11-174595-12968184_710_3,eng-WL-11-174595-12968184_710,Rose McGowan-Robert Rodriguez,t,eng-WL-11-174595-12968184_710_6-eng-WL-11-174595-12968184_710_3,206121
LTW_ENG_20080108.0109.LDC2009T13_6_54,LTW_ENG_20080108.0109.LDC2009T13_6_46,LTW_ENG_20080108.0109.LDC2009T13_6,Jerry Hall-Mick Jagger,t,LTW_ENG_20080108.0109.LDC2009T13_6_54-LTW_ENG_20080108.0109.LDC2009T13_6_46,146916
NYT_ENG_20070825.0087.LDC2009T13_174_7,NYT_ENG_20070825.0087.LDC2009T13_174_0,NYT_ENG_20070825.0087.LDC2009T13_174,Barack Obama-Michelle Obama,t,NYT_ENG_20070825.0087.LDC2009T13_174_7-NYT_ENG_20070825.0087.LDC2009T13_174_0,67924
84892@0_10,84892@0_29,84892@0,Bill Clinton-Hillary Rodham Clinton,t,84892@0_10-84892@0_29,136161
APW_ENG_20080817.0871.LDC2009T13_16_8,APW_ENG_20080817.0871.LDC2009T13_16_5,APW_ENG_20080817.0871.LDC2009T13_16,Portia de Rossi-Ellen DeGeneres,t,APW_ENG_20080817.0871.LDC2009T13_16_8-APW_ENG_20080817.0871.LDC2009T13_16_5,125999
eng-WL-11-174643-12999984_15_18,eng-WL-11-174643-12999984_15_15,eng-WL-11-174643-12999984_15,Courtney Love-Kurt Cobain,t,eng-WL-11-174643-12999984_15_18-eng-WL-11-174643-12999984_15_15,146587
NYT_ENG_20070425.0130.LDC2009T13_116_11,NYT_ENG_20070425.0130.LDC2009T13_116_14,NYT_ENG_20070425.0130.LDC2009T13_116,Jerry Stiller-Anne Meara,t,NYT_ENG_20070425.0130.LDC2009T13_116_11-NYT_ENG_20070425.0130.LDC2009T13_116_14,35917
AFP_ENG_20070804.0090.LDC2009T13_11_14,AFP_ENG_20070804.0090.LDC2009T13_11_2,AFP_ENG_20070804.0090.LDC2009T13_11,Melanie Brown-Eddie Murphy,t,AFP_ENG_20070804.0090.LDC2009T13_11_14-AFP_ENG_20070804.0090.LDC2009T13_11_2,80898
eng-WL-11-174579-12936843_0_0,eng-WL-11-174579-12936843_0_6,eng-WL-11-174579-12936843_0,Jennifer Aniston-Brad Pitt,t,eng-WL-11-174579-12936843_0_0-eng-WL-11-174579-12936843_0_6,180305
eng-NG-31-145805-10295565_0_0,eng-NG-31-145805-10295565_0_5,eng-NG-31-145805-10295565_0,Katie Holmes-Tom Cruise,t,eng-NG-31-145805-10295565_0_0-eng-NG-31-145805-10295565_0_5,160115
115258@57_0,115258@57_15,115258@57,Kris Jenner-Bruce Jenner,t,115258@57_0-115258@57_15,19554
eng-NG-31-141957-9978103_106_13,eng-NG-31-141957-9978103_106_0,eng-NG-31-141957-9978103_106,John Lennon-Yoko Ono,t,eng-NG-31-141957-9978103_106_13-eng-NG-31-141957-9978103_106_0,139040
APW_ENG_20080304.1496.LDC2009T13_571_0,APW_ENG_20080304.1496.LDC2009T13_571_6,APW_ENG_20080304.1496.LDC2009T13_571,Del Martin-Phyllis Lyon,t,APW_ENG_20080304.1496.LDC2009T13_571_0-APW_ENG_20080304.1496.LDC2009T13_571_6,180843
AFP_ENG_20071206.0441.LDC2009T13_376_6,AFP_ENG_20071206.0441.LDC2009T13_376_9,AFP_ENG_20071206.0441.LDC2009T13_376,Ko Yong-Hui-Kim Jong-Il,t,AFP_ENG_20071206.0441.LDC2009T13_376_6-AFP_ENG_20071206.0441.LDC2009T13_376_9,232414
eng-WL-11-174595-12968244_979_5,eng-WL-11-174595-12968244_979_33,eng-WL-11-174595-12968244_979,David Beckham-Victoria Beckham,t,eng-WL-11-174595-12968244_979_5-eng-WL-11-174595-12968244_979_33,123724
NYT_ENG_20080310.0238.LDC2009T13_664_39,NYT_ENG_20080310.0238.LDC2009T13_664_0,NYT_ENG_20080310.0238.LDC2009T13_664,Peter Kaufman-Christine Pelosi,t,NYT_ENG_20080310.0238.LDC2009T13_664_39-NYT_ENG_20080310.0238.LDC2009T13_664_0,209008
APW_ENG_20070713.0100.LDC2009T13_742_7,APW_ENG_20070713.0100.LDC2009T13_742_14,APW_ENG_20070713.0100.LDC2009T13_742,Ann Dexter-Jones-Mick Jones,t,APW_ENG_20070713.0100.LDC2009T13_742_7-APW_ENG_20070713.0100.LDC2009T13_742_14,117804
eng-WL-11-174573-12957641_132_1,eng-WL-11-174573-12957641_132_7,eng-WL-11-174573-12957641_132,Kathryn Bigelow-James Cameron,t,eng-WL-11-174573-12957641_132_1-eng-WL-11-174573-12957641_132_7,9510
APW_ENG_20080919.1187.LDC2009T13_214_0,APW_ENG_20080919.1187.LDC2009T13_214_6,APW_ENG_20080919.1187.LDC2009T13_214,Madonna-Guy Ritchie,t,APW_ENG_20080919.1187.LDC2009T13_214_0-APW_ENG_20080919.1187.LDC2009T13_214_6,198099
APW_ENG_20080525.0398.LDC2009T13_17_2,APW_ENG_20080525.0398.LDC2009T13_17_16,APW_ENG_20080525.0398.LDC2009T13_17,Daniel Inouye-Irene Hirano,t,APW_ENG_20080525.0398.LDC2009T13_17_2-APW_ENG_20080525.0398.LDC2009T13_17_16,222793
NYT_ENG_20081228.0012.LDC2009T13_1423_8,NYT_ENG_20081228.0012.LDC2009T13_1423_15,NYT_ENG_20081228.0012.LDC2009T13_1423,Peter Hall-Maria Ewing,t,NYT_ENG_20081228.0012.LDC2009T13_1423_8-NYT_ENG_20081228.0012.LDC2009T13_1423_15,131106
LTW_ENG_20080208.0106.LDC2009T13_593_12,LTW_ENG_20080208.0106.LDC2009T13_593_5,LTW_ENG_20080208.0106.LDC2009T13_593,William Friedkin-Sherry Lansing,t,LTW_ENG_20080208.0106.LDC2009T13_593_12-LTW_ENG_20080208.0106.LDC2009T13_593_5,128416
eng-WL-11-174595-12967414_394_0,eng-WL-11-174595-12967414_394_3,eng-WL-11-174595-12967414_394,Ben Affleck-Jennifer Garner,t,eng-WL-11-174595-12967414_394_0-eng-WL-11-174595-12967414_394_3,14432
NYT_ENG_20070504.0180.LDC2009T13_235_32,NYT_ENG_20070504.0180.LDC2009T13_235_23,NYT_ENG_20070504.0180.LDC2009T13_235,Bill Clinton-Hillary Rodham Clinton,t,NYT_ENG_20070504.0180.LDC2009T13_235_32-NYT_ENG_20070504.0180.LDC2009T13_235_23,264386
NYT_ENG_20070225.0179.LDC2009T13_278_7,NYT_ENG_20070225.0179.LDC2009T13_278_3,NYT_ENG_20070225.0179.LDC2009T13_278,Maggie Gyllenhaal-Peter Sarsgaard,t,NYT_ENG_20070225.0179.LDC2009T13_278_7-NYT_ENG_20070225.0179.LDC2009T13_278_3,206832
eng-WL-11-174595-12968573_3112_12,eng-WL-11-174595-12968573_3112_15,eng-WL-11-174595-12968573_3112,Nicole Richie-Joel Madden,t,eng-WL-11-174595-12968573_3112_12-eng-WL-11-174595-12968573_3112_15,184190
NYT_ENG_20071127.0263.LDC2009T13_436_47,NYT_ENG_20071127.0263.LDC2009T13_436_71,NYT_ENG_20071127.0263.LDC2009T13_436,Richard Schiff-Sheila Kelley,t,NYT_ENG_20071127.0263.LDC2009T13_436_47-NYT_ENG_20071127.0263.LDC2009T13_436_71,17850
LTW_ENG_20080524.0062.LDC2009T13_517_1,LTW_ENG_20080524.0062.LDC2009T13_517_7,LTW_ENG_20080524.0062.LDC2009T13_517,Angela Bassett-Courtney B. Vance,t,LTW_ENG_20080524.0062.LDC2009T13_517_1-LTW_ENG_20080524.0062.LDC2009T13_517_7,283330
APW_ENG_20070225.0042.LDC2009T13_56_26,APW_ENG_20070225.0042.LDC2009T13_56_29,APW_ENG_20070225.0042.LDC2009T13_56,Jonathan Dayton-Valerie Faris,t,APW_ENG_20070225.0042.LDC2009T13_56_26-APW_ENG_20070225.0042.LDC2009T13_56_29,62725
LTW_ENG_20070123.0008.LDC2009T13_206_20,LTW_ENG_20070123.0008.LDC2009T13_206_23,LTW_ENG_20070123.0008.LDC2009T13_206,Federico Fellini-Giulietta Masina,t,LTW_ENG_20070123.0008.LDC2009T13_206_20-LTW_ENG_20070123.0008.LDC2009T13_206_23,221584
NYT_ENG_20080219.0109.LDC2009T13_138_19,NYT_ENG_20080219.0109.LDC2009T13_138_16,NYT_ENG_20080219.0109.LDC2009T13_138,Susan Sarandon-Tim Robbins,t,NYT_ENG_20080219.0109.LDC2009T13_138_19-NYT_ENG_20080219.0109.LDC2009T13_138_16,110862
NYT_ENG_20070902.0021.LDC2009T13_994_5,NYT_ENG_20070902.0021.LDC2009T13_994_14,NYT_ENG_20070902.0021.LDC2009T13_994,Demi Moore-Ashton Kutcher,t,NYT_ENG_20070902.0021.LDC2009T13_994_5-NYT_ENG_20070902.0021.LDC2009T13_994_14,110693
eng-NG-31-105609-11968117_1356_6,eng-NG-31-105609-11968117_1356_12,eng-NG-31-105609-11968117_1356,Lee Breuer-Ruth Maleczech,t,eng-NG-31-105609-11968117_1356_6-eng-NG-31-105609-11968117_1356_12,274099
APW_ENG_20070622.0121.LDC2009T13_21_6,APW_ENG_20070622.0121.LDC2009T13_21_2,APW_ENG_20070622.0121.LDC2009T13_21,Arthur Miller-Marilyn Monroe,t,APW_ENG_20070622.0121.LDC2009T13_21_6-APW_ENG_20070622.0121.LDC2009T13_21_2,201149
AFP_ENG_20080520.0048.LDC2009T13_8_1,AFP_ENG_20080520.0048.LDC2009T13_8_13,AFP_ENG_20080520.0048.LDC2009T13_8,Jessica Alba-Cash Warren,t,AFP_ENG_20080520.0048.LDC2009T13_8_1-AFP_ENG_20080520.0048.LDC2009T13_8_13,120248
eng-WL-110-174612-12993966_6_2,eng-WL-110-174612-12993966_6_11,eng-WL-110-174612-12993966_6,Syleena Johnson-Kiwane Garris,t,eng-WL-110-174612-12993966_6_2-eng-WL-110-174612-12993966_6_11,263293
APW_ENG_20080523.0471.LDC2009T13_382_12,APW_ENG_20080523.0471.LDC2009T13_382_5,APW_ENG_20080523.0471.LDC2009T13_382,Maria Ewing-Peter Hall,t,APW_ENG_20080523.0471.LDC2009T13_382_12-APW_ENG_20080523.0471.LDC2009T13_382_5,207288
98130@9_16,98130@9_5,98130@9,Benazir Bhutto-Asif Ali Zardari,t,98130@9_16-98130@9_5,251655
eng-NG-31-138596-9809828_38_7,eng-NG-31-138596-9809828_38_24,eng-NG-31-138596-9809828_38,Bill Clinton-Hillary Rodham Clinton,t,eng-NG-31-138596-9809828_38_7-eng-NG-31-138596-9809828_38_24,260582
eng-NG-31-146450-10408799_720_4,eng-NG-31-146450-10408799_720_14,eng-NG-31-146450-10408799_720,shane deary-keri russell,t,eng-NG-31-146450-10408799_720_4-eng-NG-31-146450-10408799_720_14,90159
APW_ENG_20080531.0143.LDC2009T13_31_0,APW_ENG_20080531.0143.LDC2009T13_31_7,APW_ENG_20080531.0143.LDC2009T13_31,Charlie Sheen-Brooke Mueller,t,APW_ENG_20080531.0143.LDC2009T13_31_0-APW_ENG_20080531.0143.LDC2009T13_31_7,47559
eng-WL-11-174592-12943614_12_6,eng-WL-11-174592-12943614_12_29,eng-WL-11-174592-12943614_12,Eva Longoria-Tony Parker,t,eng-WL-11-174592-12943614_12_6-eng-WL-11-174592-12943614_12_29,66583
AFP_ENG_20080822.0690.LDC2009T13_144_22,AFP_ENG_20080822.0690.LDC2009T13_144_8,AFP_ENG_20080822.0690.LDC2009T13_144,Asif Ali Zardari-Benazir Bhutto,t,AFP_ENG_20080822.0690.LDC2009T13_144_22-AFP_ENG_20080822.0690.LDC2009T13_144_8,233828
AFP_ENG_20080421.0387.LDC2009T13_9_32,AFP_ENG_20080421.0387.LDC2009T13_9_42,AFP_ENG_20080421.0387.LDC2009T13_9,Asif Ali Zardari-Benazir Bhutto,t,AFP_ENG_20080421.0387.LDC2009T13_9_32-AFP_ENG_20080421.0387.LDC2009T13_9_42,80783
eng-WL-11-174587-12961992_13_15,eng-WL-11-174587-12961992_13_12,eng-WL-11-174587-12961992_13,Spencer Pratt-Heidi Montag,t,eng-WL-11-174587-12961992_13_15-eng-WL-11-174587-12961992_13_12,225209
NYT_ENG_20080905.0109.LDC2009T13_226_56,NYT_ENG_20080905.0109.LDC2009T13_226_43,NYT_ENG_20080905.0109.LDC2009T13_226,Stephen Moyer-Anna Paquin,t,NYT_ENG_20080905.0109.LDC2009T13_226_56-NYT_ENG_20080905.0109.LDC2009T13_226_43,188081
NYT_ENG_20070131.0313.LDC2009T13_207_9,NYT_ENG_20070131.0313.LDC2009T13_207_14,NYT_ENG_20070131.0313.LDC2009T13_207,Britney Spears-Kevin Federline,t,NYT_ENG_20070131.0313.LDC2009T13_207_9-NYT_ENG_20070131.0313.LDC2009T13_207_14,91505
eng-WL-11-174598-12966700_1216_14,eng-WL-11-174598-12966700_1216_4,eng-WL-11-174598-12966700_1216,Brian Benben-Madeleine Stowe,t,eng-WL-11-174598-12966700_1216_14-eng-WL-11-174598-12966700_1216_4,204156
134273@1_19,134273@1_5,134273@1,Cindy McCain-John McCain,t,134273@1_19-134273@1_5,172606
NYT_ENG_20080225.0168.LDC2009T13_707_22,NYT_ENG_20080225.0168.LDC2009T13_707_15,NYT_ENG_20080225.0168.LDC2009T13_707,Christo-Jeanne-Claude,t,NYT_ENG_20080225.0168.LDC2009T13_707_22-NYT_ENG_20080225.0168.LDC2009T13_707_15,226226
eng-WL-11-174595-12967950_796_3,eng-WL-11-174595-12967950_796_0,eng-WL-11-174595-12967950_796,Katie Holmes-Tom Cruise,t,eng-WL-11-174595-12967950_796_3-eng-WL-11-174595-12967950_796_0,91395
eng-NG-31-138596-9809927_42_12,eng-NG-31-138596-9809927_42_2,eng-NG-31-138596-9809927_42,Hillary Rodham Clinton-Bill Clinton,t,eng-NG-31-138596-9809927_42_12-eng-NG-31-138596-9809927_42_2,65527
71991@1_8,71991@1_0,71991@1,Mitt Romney-Ann Romney,t,71991@1_8-71991@1_0,135504
NYT_ENG_20070216.0288.LDC2009T13_16_21,NYT_ENG_20070216.0288.LDC2009T13_16_6,NYT_ENG_20070216.0288.LDC2009T13_16,Bill Clinton-Hillary Rodham Clinton,t,NYT_ENG_20070216.0288.LDC2009T13_16_21-NYT_ENG_20070216.0288.LDC2009T13_16_6,168089
eng-WL-11-174595-12967569_637_7,eng-WL-11-174595-12967569_637_0,eng-WL-11-174595-12967569_637,Tom Cruise-Katie Holmes,t,eng-WL-11-174595-12967569_637_7-eng-WL-11-174595-12967569_637_0,52234
72549@31_10,72549@31_32,72549@31,Anthony Hopkins-Stella Arroyave,t,72549@31_10-72549@31_32,155763
LTW_ENG_20080924.0066.LDC2009T13_536_21,LTW_ENG_20080924.0066.LDC2009T13_536_30,LTW_ENG_20080924.0066.LDC2009T13_536,Asif Ali Zardari-Benazir Bhutto,t,LTW_ENG_20080924.0066.LDC2009T13_536_21-LTW_ENG_20080924.0066.LDC2009T13_536_30,127965
eng-WL-11-174598-12965426_1070_16,eng-WL-11-174598-12965426_1070_3,eng-WL-11-174598-12965426_1070,Cale Hulse-Gena Lee Nolin,t,eng-WL-11-174598-12965426_1070_16-eng-WL-11-174598-12965426_1070_3,91183
AFP_ENG_20080917.0128.LDC2009T13_10_8,AFP_ENG_20080917.0128.LDC2009T13_10_0,AFP_ENG_20080917.0128.LDC2009T13_10,Barack Obama-Michelle Obama,t,AFP_ENG_20080917.0128.LDC2009T13_10_8-AFP_ENG_20080917.0128.LDC2009T13_10_0,196655
APW_ENG_20081223.0829.LDC2009T13_12_12,APW_ENG_20081223.0829.LDC2009T13_12_6,APW_ENG_20081223.0829.LDC2009T13_12,Hillary Rodham Clinton-Bill Clinton,t,APW_ENG_20081223.0829.LDC2009T13_12_12-APW_ENG_20081223.0829.LDC2009T13_12_6,199363
eng-NG-31-100600-11879416_403_4,eng-NG-31-100600-11879416_403_7,eng-NG-31-100600-11879416_403,Kim Moses-Ian Sander,t,eng-NG-31-100600-11879416_403_4-eng-NG-31-100600-11879416_403_7,275349
LTW_ENG_20080220.0007.LDC2009T13_57_5,LTW_ENG_20080220.0007.LDC2009T13_57_11,LTW_ENG_20080220.0007.LDC2009T13_57,Abraham Lincoln-Mary Todd Lincoln,t,LTW_ENG_20080220.0007.LDC2009T13_57_5-LTW_ENG_20080220.0007.LDC2009T13_57_11,246205
eng-WL-11-174594-12964048_244_14,eng-WL-11-174594-12964048_244_1,eng-WL-11-174594-12964048_244,Melanie Brown-Eddie Murphy,t,eng-WL-11-174594-12964048_244_14-eng-WL-11-174594-12964048_244_1,86845
LTW_ENG_20070222.0133.LDC2009T13_192_26,LTW_ENG_20070222.0133.LDC2009T13_192_10,LTW_ENG_20070222.0133.LDC2009T13_192,Valerie Plame-Joseph C. Wilson,t,LTW_ENG_20070222.0133.LDC2009T13_192_26-LTW_ENG_20070222.0133.LDC2009T13_192_10,108307
eng-WL-110-174612-12993890_0_0,eng-WL-110-174612-12993890_0_5,eng-WL-110-174612-12993890_0,JESSICA SIMPSON-NICK LACHEY,t,eng-WL-110-174612-12993890_0_0-eng-WL-110-174612-12993890_0_5,142261
LTW_ENG_20081014.0021.LDC2009T13_4412_45,LTW_ENG_20081014.0021.LDC2009T13_4412_28,LTW_ENG_20081014.0021.LDC2009T13_4412,John McCain-Carol McCain,t,LTW_ENG_20081014.0021.LDC2009T13_4412_45-LTW_ENG_20081014.0021.LDC2009T13_4412_28,111198
NYT_ENG_20070902.0175.LDC2009T13_144_20,NYT_ENG_20070902.0175.LDC2009T13_144_32,NYT_ENG_20070902.0175.LDC2009T13_144,Abraham-Sarah,t,NYT_ENG_20070902.0175.LDC2009T13_144_20-NYT_ENG_20070902.0175.LDC2009T13_144_32,204152
eng-NG-31-142144-10007727_244_30,eng-NG-31-142144-10007727_244_14,eng-NG-31-142144-10007727_244,Barack Obama-Michelle Obama,t,eng-NG-31-142144-10007727_244_30-eng-NG-31-142144-10007727_244_14,29088
NYT_ENG_20081105.0036.LDC2009T13_311_29,NYT_ENG_20081105.0036.LDC2009T13_311_8,NYT_ENG_20081105.0036.LDC2009T13_311,Herbert Asbury-Edith Evans Asbury,t,NYT_ENG_20081105.0036.LDC2009T13_311_29-NYT_ENG_20081105.0036.LDC2009T13_311_8,190051
NYT_ENG_20070330.0084.LDC2009T13_232_27,NYT_ENG_20070330.0084.LDC2009T13_232_24,NYT_ENG_20070330.0084.LDC2009T13_232,Amy Poehler-Will Arnett,t,NYT_ENG_20070330.0084.LDC2009T13_232_27-NYT_ENG_20070330.0084.LDC2009T13_232_24,51277
eng-WL-11-174595-12968568_10_29,eng-WL-11-174595-12968568_10_10,eng-WL-11-174595-12968568_10,Marc Anthony-Jennifer Lopez,t,eng-WL-11-174595-12968568_10_29-eng-WL-11-174595-12968568_10_10,168908
145465@33_48,145465@33_44,145465@33,Kate Winslet-Sam Mendes,t,145465@33_48-145465@33_44,153629
LTW_ENG_20080221.0041.LDC2009T13_158_18,LTW_ENG_20080221.0041.LDC2009T13_158_11,LTW_ENG_20080221.0041.LDC2009T13_158,Agnes Carpenter-Harold Carpenter,t,LTW_ENG_20080221.0041.LDC2009T13_158_18-LTW_ENG_20080221.0041.LDC2009T13_158_11,105353
119142@0_21,119142@0_2,119142@0,Bill Clinton-Hillary Rodham Clinton,t,119142@0_21-119142@0_2,267207
NYT_ENG_20081028.0033.LDC2009T13_1039_48,NYT_ENG_20081028.0033.LDC2009T13_1039_44,NYT_ENG_20081028.0033.LDC2009T13_1039,Kate Winslet-Sam Mendes,t,NYT_ENG_20081028.0033.LDC2009T13_1039_48-NYT_ENG_20081028.0033.LDC2009T13_1039_44,36702
AFP_ENG_20070306.0611.LDC2009T13_111_22,AFP_ENG_20070306.0611.LDC2009T13_111_26,AFP_ENG_20070306.0611.LDC2009T13_111,Heather Mills-Paul McCartney,t,AFP_ENG_20070306.0611.LDC2009T13_111_22-AFP_ENG_20070306.0611.LDC2009T13_111_26,271947
LTW_ENG_20070810.0015.LDC2009T13_358_29,LTW_ENG_20070810.0015.LDC2009T13_358_26,LTW_ENG_20070810.0015.LDC2009T13_358,Mary Ford-Les Paul,t,LTW_ENG_20070810.0015.LDC2009T13_358_29-LTW_ENG_20070810.0015.LDC2009T13_358_26,242702
eng-WL-107-174567-12932036_7_16,eng-WL-107-174567-12932036_7_18,eng-WL-107-174567-12932036_7,Madonna-Guy Ritchie,t,eng-WL-107-174567-12932036_7_16-eng-WL-107-174567-12932036_7_18,183365
eng-NG-31-105100-11929710_85_1,eng-NG-31-105100-11929710_85_4,eng-NG-31-105100-11929710_85,Ann Dunham-Lolo Soetoro,t,eng-NG-31-105100-11929710_85_1-eng-NG-31-105100-11929710_85_4,31099
APW_ENG_20070610.0816.LDC2009T13_130_11,APW_ENG_20070610.0816.LDC2009T13_130_8,APW_ENG_20070610.0816.LDC2009T13_130,Jennifer Lopez-Marc Anthony,t,APW_ENG_20070610.0816.LDC2009T13_130_11-APW_ENG_20070610.0816.LDC2009T13_130_8,100808
APW_ENG_20071024.0066.LDC2009T13_338_26,APW_ENG_20071024.0066.LDC2009T13_338_2,APW_ENG_20071024.0066.LDC2009T13_338,James Keach-Jane Seymour,t,APW_ENG_20071024.0066.LDC2009T13_338_26-APW_ENG_20071024.0066.LDC2009T13_338_2,84562
APW_ENG_20070905.0202.LDC2009T13_91_20,APW_ENG_20070905.0202.LDC2009T13_91_24,APW_ENG_20070905.0202.LDC2009T13_91,Shaquille O'Neal-Shaunie O'Neal,t,APW_ENG_20070905.0202.LDC2009T13_91_20-APW_ENG_20070905.0202.LDC2009T13_91_24,236093
eng-WL-11-174611-12972075_26_32,eng-WL-11-174611-12972075_26_38,eng-WL-11-174611-12972075_26,Manmohan Singh-Gursharan Kaur,t,eng-WL-11-174611-12972075_26_32-eng-WL-11-174611-12972075_26_38,70273
