relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
eng-WL-11-174595-12967599_243_28-eng-WL-11-174595-12967599_243_22,eng-WL-11-174595-12967599_243,Brad Pitt-Jennifer Aniston,t,0.93,"{LOS,ANGELES,--,Us,Weekly,has,learned,exclusively,that,Jessica,Simpson,has,hired,high-powered,L.A.,divorce,attorney,Robert,Kaufman,"","",who,represented,Jennifer,Aniston,in,her,divorce,with,Brad,Pitt,earlier,this,year,"","",to,handle,her,divorce,with,Nick,Lachey,.}",28,2,22,2,2,"{INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[divorce],INV_NGRAM_1_[she],IS_INVERTED,""INV_NER_SEQ_[O O O O]"",INV_NGRAM_1_[with]}","{-0.763446,0.698629,0.658011,-0.651428,0.536349,0.415228}"
eng-WL-11-174595-12968516_2172_6-eng-WL-11-174595-12968516_2172_2,eng-WL-11-174595-12968516_2172,Keith Urban-Nicole Kidman,t,0.954,"{Now,that,Nicole,Kidman,and,hubby,Keith,Urban,have,officially,confirmed,that,they,are,pregs,"","",they,can,officially,begin,the,fun,game,of,Hide,the,Bump,:}",6,2,2,2,2,"{INV_LENGTHS_[2_2],INV_NGRAM_1_[hubby],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O]"",""INV_POS_SEQ_[CC NNP]""}","{1.0991,0.891132,-0.763446,-0.651428,0.458043,0.370351}"
eng-WL-11-174595-12968522_3633_7-eng-WL-11-174595-12968522_3633_0,eng-WL-11-174595-12968522_3633,Rick Solomon-Pamela Anderson,,0.94,"{Pamela,Anderson,canoodles,with,her,current,hubby,Rick,Solomon,on,Saturday,and,her,ex-husband,Tommy,Lee,on,Sunday,.}",7,2,0,2,2,"{INV_LENGTHS_[2_3],INV_NGRAM_1_[hubby],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[she],IS_INVERTED,INV_NGRAM_1_[with]}","{1.08611,0.891132,-0.763446,0.658011,-0.651428,0.415228}"
eng-WL-11-174643-13000356_177_4-eng-WL-11-174643-13000356_177_6,eng-WL-11-174643-13000356_177,Widmark-Susan Blanchard,,0.94,"{In,September,1999,"","",Widmark,married,Susan,Blanchard,"","",who,earlier,was,Henry,Fonda,'s,third,wife,.}",4,1,6,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[marry],NER_SEQ_[O],POS_SEQ_[VBD],KW_L_[nsubj]_[dobj],""BETW_[nsubj marry dobj]""}","{-1.31464,1.12548,0.567821,0.334451,0.237864,0.237864}"
LTW_ENG_20080905.0090.LDC2009T13_5_19-LTW_ENG_20080905.0090.LDC2009T13_5_4,LTW_ENG_20080905.0090.LDC2009T13_5,Benazir Bhutto-Asif Ali Zardari,t,0.946,"{Two,decades,ago,"","",Asif,Ali,Zardari,was,virtually,unknown,in,the,high-flying,political,circles,that,his,new,wife,Benazir,Bhutto,traveled,in,.}",19,2,4,3,3,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_3],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O O O O O O O O O O O]"",INV_NGRAM_1_[he]}","{1.40876,1.08611,-0.763446,-0.651428,0.460507,0.327682}"
eng-WL-11-174595-12970301_71_19-eng-WL-11-174595-12970301_71_14,eng-WL-11-174595-12970301_71,Nick Cannon-Mariah Carey,t,0.902,"{My,father,is,currently,staying,in,Eleuthera,in,the,Bahamas,and,can,confirm,that,Mariah,Carey,did,infact,marry,Nick,Cannon,yesterday,.}",19,2,14,2,2,"{INV_NGRAM_1_[marry],INV_LENGTHS_[2_2],INV_KW_IND_[non_married],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O O]""}","{1.16876,1.0991,-1.05898,-0.763446,-0.651428,0.546301}"
LTW_ENG_20070111.0075.LDC2009T13_8_30-LTW_ENG_20070111.0075.LDC2009T13_8_0,LTW_ENG_20070111.0075.LDC2009T13_8,Sophia Loren-Carlo Ponti,t,0.918,"{Carlo,Ponti,"","",the,Italian,producer,of,films,such,as,``,La,Strada,"","",'',``,Doctor,Zhivago,'',and,``,Blowup,'',and,the,longtime,husband,of,Oscar-winning,actress,Sophia,Loren,"","",has,died,.}",30,2,0,2,2,"{INV_NGRAM_1_[husband],INV_LENGTHS_[2_2],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED,""INV_NGRAM_2_[husband of]""}","{1.33699,1.0991,-0.763446,-0.66542,-0.651428,0.523005}"
APW_ENG_20081111.1222.LDC2009T13_14_28-APW_ENG_20081111.1222.LDC2009T13_14_0,APW_ENG_20081111.1222.LDC2009T13_14,Smith-Jennifer Aniston,,0.906,"{Jennifer,Aniston,says,Angelina,Jolie,was,out,of,line,when,she,spilled,details,about,her,relationship,with,Brad,Pitt,on,the,set,of,the,``,Mr.,&,Mrs.,Smith,'',film,.}",28,1,0,2,2,"{INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[she],IS_INVERTED,INV_NGRAM_1_[with],INV_NGRAM_1_[of],INV_NGRAM_1_[``]}","{-0.763446,0.658011,-0.651428,0.415228,-0.345948,-0.233331}"
eng-WL-11-174595-12968182_1185_0-eng-WL-11-174595-12968182_1185_5,eng-WL-11-174595-12968182_1185,Jennifer Lopez-Marc Anthony,t,0.958,"{Jennifer,Lopez,and,her,husband,Marc,Anthony,made,an,appearance,at,the,Echo,Music,Awards,-LRB-,which,is,"","",essentially,"","",the,German,version,of,the,Grammy,Awards,-RRB-,over,the,weekend,and,while,Jenny,Lo,was,lookin,',really,hot,...,her,hubby,was,lookin,',really,...,not,:}",0,2,5,2,2,"{NGRAM_1_[husband],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],NGRAM_1_[she],""NER_SEQ_[O O O]"",NGRAM_1_[and]}","{1.38993,-1.31464,1.00097,0.686583,0.507892,-0.221701}"
AFP_ENG_20080206.0181.LDC2009T13_494_16-AFP_ENG_20080206.0181.LDC2009T13_494_12,AFP_ENG_20080206.0181.LDC2009T13_494,Katie Holmes-Tom Cruise,t,0.908,"{His,memorial,service,in,Los,Angeles,drew,an,A-list,of,mourners,including,Tom,Cruise,and,wife,Katie,Holmes,.}",16,2,12,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_2],""INV_POS_SEQ_[CC NN]"",INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O]""}","{1.40876,1.0991,0.847347,-0.763446,-0.651428,0.458043}"
50222@19_11-50222@19_17,50222@19,Jeri Kehn Thompson-Fred Thompson,t,0.992,"{The,New,York,Times,raised,eyebrows,recently,with,a,story,calling,Jeri,Kehn,Thompson,"","",wife,of,Fred,Thompson,"","",a,trophy,wife,.}",11,3,17,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_1_[,]"",""NGRAM_2_[wife of]""}","{1.45266,-1.31464,1.08145,0.819902,-0.736788,0.621528}"
AFP_ENG_20080108.0168.LDC2009T13_7_7-AFP_ENG_20080108.0168.LDC2009T13_7_13,AFP_ENG_20080108.0168.LDC2009T13_7,Nicolas Sarkozy-Carla Bruni,t,0.93,"{A,Belgian,holidaymaker,who,snapped,French,President,Nicolas,Sarkozy,and,his,new,girlfriend,Carla,Bruni,in,swimsuits,is,donating,the,fruits,of,his,scoop,to,a,children,'s,charity,"","",a,newspaper,reported,Tuesday,.}",7,2,13,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],NGRAM_1_[girlfriend],""NER_SEQ_[O O O O]"",NGRAM_1_[he],""POS_SEQ_[CC PRP$ JJ NN]""}","{-1.31464,1.08145,0.917655,0.517331,0.311969,0.294054}"
AFP_ENG_20080129.0565.LDC2009T13_346_16-AFP_ENG_20080129.0565.LDC2009T13_346_9,AFP_ENG_20080129.0565.LDC2009T13_346,Lee Hsien Loong-Ho Ching,t,0.908,"{Temasek,'s,executive,director,and,chief,executive,officer,is,Ho,Ching,"","",wife,of,Prime,Minister,Lee,Hsien,Loong,.}",16,3,9,2,2,"{INV_NGRAM_1_[wife],""INV_BETW_D_[prep_of DICT_married appos]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED,""INV_BETW_L_[prep_of appos]""}","{1.40876,0.850398,-0.763446,-0.66542,-0.651428,0.585163}"
AFP_ENG_20070614.0712.LDC2009T13_7_8-AFP_ENG_20070614.0712.LDC2009T13_7_0,AFP_ENG_20070614.0712.LDC2009T13_7,Billy Graham-Ruth Graham,t,0.988,"{Ruth,Graham,"","",the,wife,of,prominent,evangelist,Billy,Graham,"","",died,on,Thursday,at,her,home,in,North,Carolina,"","",her,husband,said,in,a,statement,.}",8,2,0,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_2],""INV_BETW_D_[prep_of DICT_married appos]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED}","{1.40876,1.0991,0.850398,-0.763446,-0.66542,-0.651428}"
50222@19_17-50222@19_11,50222@19,Fred Thompson-Jeri Kehn Thompson,t,0.988,"{The,New,York,Times,raised,eyebrows,recently,with,a,story,calling,Jeri,Kehn,Thompson,"","",wife,of,Fred,Thompson,"","",a,trophy,wife,.}",17,2,11,3,3,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_3],""INV_BETW_D_[prep_of DICT_married appos]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED}","{1.40876,1.08611,0.850398,-0.763446,-0.66542,-0.651428}"
LTW_ENG_20080205.0134.LDC2009T13_1071_13-LTW_ENG_20080205.0134.LDC2009T13_1071_3,LTW_ENG_20080205.0134.LDC2009T13_1071,Arnold Schwarzenegger-Maria Shriver,t,0.938,"{That,was,before,Maria,Shriver,"","",the,highly,popular,wife,of,Republican,Gov.,Arnold,Schwarzenegger,and,a,member,of,the,Kennedy,family,"","",endorsed,Obama,at,a,rally,in,Los,Angeles,with,Oprah,Winfrey,.}",13,2,3,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[4_2],""INV_BETW_D_[prep_of DICT_married appos]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED}","{1.40876,1.27709,0.850398,-0.763446,-0.66542,-0.651428}"
eng-WL-11-174611-12976586_18_46-eng-WL-11-174611-12976586_18_12,eng-WL-11-174611-12976586_18,Charlie Dry-James Miko,,0.922,"{JMG,reader,Douglas,In,Oklahoma,points,us,to,this,teaser,post,by,James,Miko,on,a,site,called,Gossip,Boy,"","",in,which,Miko,describes,having,gone,undercover,at,Anita,Bryant,'s,new,ministry,in,Oklahoma,City,"","",which,she,runs,with,her,second,husband,"","",Charlie,Dry,.}",46,2,12,2,2,"{INV_NGRAM_1_[husband],INV_LENGTHS_[2_2],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[she],IS_INVERTED}","{1.33699,1.0991,-0.763446,-0.66542,0.658011,-0.651428}"
eng-WL-11-174595-12968813_180_0-eng-WL-11-174595-12968813_180_11,eng-WL-11-174595-12968813_180,Ryan Phillippe-Jake Gyllenhaal,,0.918,"{Ryan,Phillippe,has,given,his,ex-wife,Reese,Witherspoon,and,her,boyfriend,Jake,Gyllenhaal,his,blessing,.}",0,2,11,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_3],NGRAM_1_[ex-wife],NGRAM_1_[she],NGRAM_1_[boyfriend],NGRAM_1_[he]}","{-1.31464,0.973073,0.833705,0.686583,0.673115,0.311969}"
eng-WL-11-174573-12960425_5348_14-eng-WL-11-174573-12960425_5348_27,eng-WL-11-174573-12960425_5348,Mary Shelley-Percy Bysshe Shelley,t,0.944,"{-LRB-,See,Important,Quotations,Explained,-RRB-,Frankenstein,opens,with,a,preface,"","",signed,by,Mary,Shelley,but,commonly,supposed,to,have,been,written,by,her,husband,"","",Percy,Bysshe,Shelley,.}",14,2,27,3,3,"{NGRAM_1_[husband],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_4],""NGRAM_1_[,]"",NGRAM_1_[she],""NGRAM_2_[husband ,]""}","{1.38993,-1.31464,1.22152,-0.736788,0.686583,0.352445}"
eng-WL-11-174595-12967901_1894_30-eng-WL-11-174595-12967901_1894_8,eng-WL-11-174595-12967901_1894,Nick Lachey-Jessica Simpson,t,0.95,"{And,finally,"","",here,are,a,couple,new,Jessica,Simpson,promo,pictures,...,her,new,album,A,Public,Affair,-LRB-,which,has,nothing,at,all,do,to,with,her,ex-husband,Nick,Lachey,-RRB-,comes,out,at,the,end,of,this,month,and,it,'s,about,time,her,promo,machine,kicks,into,high,gear,:}",30,2,8,2,2,"{INV_LENGTHS_[2_3],INV_NGRAM_1_[ex-husband],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[she],IS_INVERTED,INV_NGRAM_1_[with]}","{1.08611,0.976163,-0.763446,0.658011,-0.651428,0.415228}"
eng-WL-11-174595-12967688_475_6-eng-WL-11-174595-12967688_475_0,eng-WL-11-174595-12967688_475,Mark Wilkerson-Melissa Joan Hart,t,0.944,"{Melissa,Joan,Hart,and,her,husband,Mark,Wilkerson,unveil,the,first,official,pictures,of,their,new,baby,boy,Mason,to,People,magazine,...,and,here,they,are,:}",6,2,0,3,3,"{INV_NGRAM_1_[husband],INV_LENGTHS_[2_3],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[she],IS_INVERTED,""INV_NER_SEQ_[O O O]""}","{1.33699,1.08611,-0.763446,0.658011,-0.651428,0.546301}"
eng-WL-11-174572-12950463_0_0-eng-WL-11-174572-12950463_0_3,eng-WL-11-174572-12950463_0,Heidi Montag-Spencer Pratt,t,0.916,"{Heidi,Montag,and,Spencer,Pratt,Celebrate,July,4th,with,a,Run,for,Charity}",0,2,3,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],NER_SEQ_[O],LEMMA_SEQ_[and],POS_SEQ_[CC],""BETW_L_[nsubj nsubj]""}","{-1.31464,1.00097,0.567821,0.444546,0.426531,0.325851}"
eng-WL-109-174581-12950676_483_4-eng-WL-109-174581-12950676_483_0,eng-WL-109-174581-12950676_483,Vendela Vida-Dave Eggers,t,0.956,"{Dave,Eggers,and,wife,Vendela,Vida,penned,the,original,screenplay,.}",4,2,0,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_2],""INV_POS_SEQ_[CC NN]"",INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O]""}","{1.40876,1.0991,0.847347,-0.763446,-0.651428,0.458043}"
eng-WL-11-174595-12966976_222_11-eng-WL-11-174595-12966976_222_16,eng-WL-11-174595-12966976_222,Marc Anthony-Jennifer Lopez,t,0.934,"{The,fun,gang,at,ONTD,also,sniffed,out,this,picture,of,Marc,Anthony,and,his,wife,Jennifer,Lopez,.}",11,2,16,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],""NER_SEQ_[O O O]"",W_LEMMA_L_1_R_1_[of]_[.],NGRAM_1_[he]}","{1.45266,-1.31464,1.00097,0.507892,0.373802,0.311969}"
eng-WL-11-174595-12967875_322_0-eng-WL-11-174595-12967875_322_9,eng-WL-11-174595-12967875_322,KEVIN Federline-Britney Spears,t,0.916,"{KEVIN,Federline,is,recording,a,song,with,his,wife,Britney,Spears,--,in,a,bid,to,boost,sales,of,his,debut,album,.}",0,2,9,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],""NER_SEQ_[O O O O O O O]"",NGRAM_1_[with],NGRAM_1_[he]}","{1.45266,-1.31464,1.08145,0.396727,0.333158,0.311969}"
eng-WL-11-174595-12968026_130_7-eng-WL-11-174595-12968026_130_10,eng-WL-11-174595-12968026_130,Britney Spears-Kevin Federline,t,0.902,"{New,information,on,the,final,days,of,Britney,Spears,and,Kevin,Federline,'s,marriage,shows,that,Spears,"","",24,"","",laid,out,her,plans,to,drop,Federline,and,resuscitate,her,career,during,the,week,before,she,filed,for,divorce,on,November,7,.}",7,2,10,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_3],NER_SEQ_[O],LEMMA_SEQ_[and],POS_SEQ_[CC],WORD_SEQ_[and]}","{-1.31464,0.973073,0.567821,0.444546,0.426531,0.314057}"
APW_ENG_20080317.1411.LDC2009T13_749_2-APW_ENG_20080317.1411.LDC2009T13_749_11,APW_ENG_20080317.1411.LDC2009T13_749,Heather Mills-Paul McCartney,t,0.946,"{LONDON,--,Heather,Mills,walks,away,from,her,four-year,marriage,to,Paul,McCartney,with,a,24.3,million,pound,-LRB-,euro31,million,;,US$,48.6,million,-RRB-,divorce,settlement,--,a,fifth,of,what,she,had,sought,and,a,fraction,of,the,former,Beatle,'s,fortune,.}",2,2,11,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],NGRAM_1_[she],NGRAM_1_[marriage],""NGRAM_2_[marriage to]"",NGRAM_1_[from]}","{-1.31464,1.00097,0.686583,0.421682,0.408882,0.248526}"
NYT_ENG_20080310.0182.LDC2009T13_11_11-NYT_ENG_20080310.0182.LDC2009T13_11_0,NYT_ENG_20080310.0182.LDC2009T13_11,Benazir Bhutto-Asif Ali Zardari,t,0.978,"{Asif,Ali,Zardari,"","",the,widower,of,the,slain,opposition,leader,Benazir,Bhutto,"","",sits,at,the,pinnacle,of,Pakistani,politics,.}",11,2,0,3,3,"{INV_LENGTHS_[2_3],INV_NGRAM_1_[widower],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED,""INV_NGRAM_2_[widower of]""}","{1.08611,0.849673,-0.763446,-0.66542,-0.651428,0.605642}"
NYT_ENG_20080301.0014.LDC2009T13_340_0-NYT_ENG_20080301.0014.LDC2009T13_340_10,NYT_ENG_20080301.0014.LDC2009T13_340,Sandra Will Carradine-Keith Carradine,t,0.97,"{Sandra,Will,Carradine,"","",the,former,wife,of,the,actor,Keith,Carradine,"","",to,testify,that,she,listened,to,Pellicano,'s,illegal,recordings,of,Carradine,'s,phone,calls,during,a,property,dispute,in,her,divorce,case,.}",0,3,10,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_1_[,]"",""NGRAM_2_[wife of]"",""BETW_[appos wife prep_of]""}","{1.45266,-1.31464,0.819902,-0.736788,0.621528,0.567348}"
eng-WL-11-174592-12942218_323_0-eng-WL-11-174592-12942218_323_3,eng-WL-11-174592-12942218_323,Ashton Kutcher-Demi Moore,t,0.91,"{Ashton,Kutcher,and,Demi,Moore,attended,the,premiere,of,Demi,'s,former,husband,Bruce,Willis,',new,sequel,``,Live,Free,of,Die,Hard,'',on,Friday,night,in,Los,Angeles,.}",0,2,3,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],NER_SEQ_[O],LEMMA_SEQ_[and],POS_SEQ_[CC],WORD_SEQ_[and]}","{-1.31464,1.00097,0.567821,0.444546,0.426531,0.314057}"
