person1_id,person2_id,sentence_id,description,is_true,relation_id,id
NYT_ENG_20070816.0130.LDC2009T13_885_76,NYT_ENG_20070816.0130.LDC2009T13_885_26,NYT_ENG_20070816.0130.LDC2009T13_885,Peter Dinklage-Daisy Donovan,f,NYT_ENG_20070816.0130.LDC2009T13_885_76-NYT_ENG_20070816.0130.LDC2009T13_885_26,108213
eng-NG-31-102460-10984386_149_45,eng-NG-31-102460-10984386_149_37,eng-NG-31-102460-10984386_149,Billy Graham-Franklin Graham,f,eng-NG-31-102460-10984386_149_45-eng-NG-31-102460-10984386_149_37,51116
APW_ENG_20070117.1335.LDC2009T13_741_70,APW_ENG_20070117.1335.LDC2009T13_741_20,APW_ENG_20070117.1335.LDC2009T13_741,John Cusack-Parker Posey,f,APW_ENG_20070117.1335.LDC2009T13_741_70-APW_ENG_20070117.1335.LDC2009T13_741_20,199953
eng-WL-11-174595-12972570_462_36,eng-WL-11-174595-12972570_462_77,eng-WL-11-174595-12972570_462,Tom Cruise-Barbra Streisand,f,eng-WL-11-174595-12972570_462_36-eng-WL-11-174595-12972570_462_77,151052
APW_ENG_20070701.0750.LDC2009T13_20_36,APW_ENG_20070701.0750.LDC2009T13_20_5,APW_ENG_20070701.0750.LDC2009T13_20,Bush-George W. Bush,f,APW_ENG_20070701.0750.LDC2009T13_20_36-APW_ENG_20070701.0750.LDC2009T13_20_5,43649
NYT_ENG_20081118.0160.LDC2009T13_820_7,NYT_ENG_20081118.0160.LDC2009T13_820_11,NYT_ENG_20081118.0160.LDC2009T13_820,Michelle Obama-Laura Bush,f,NYT_ENG_20081118.0160.LDC2009T13_820_7-NYT_ENG_20081118.0160.LDC2009T13_820_11,164525
eng-WL-110-174612-12992150_63_36,eng-WL-110-174612-12992150_63_43,eng-WL-110-174612-12992150_63,Christina Aguilera-Pharrell Williams,f,eng-WL-110-174612-12992150_63_36-eng-WL-110-174612-12992150_63_43,181833
eng-WL-110-174612-12992871_77_37,eng-WL-110-174612-12992871_77_18,eng-WL-110-174612-12992871_77,Britney Spears-Claudette Ortiz,f,eng-WL-110-174612-12992871_77_37-eng-WL-110-174612-12992871_77_18,112076
AFP_ENG_20080712.0014.LDC2009T13_84_26,AFP_ENG_20080712.0014.LDC2009T13_84_3,AFP_ENG_20080712.0014.LDC2009T13_84,Murcer-Murcer,f,AFP_ENG_20080712.0014.LDC2009T13_84_26-AFP_ENG_20080712.0014.LDC2009T13_84_3,101157
NYT_ENG_20070329.0028.LDC2009T13_426_35,NYT_ENG_20070329.0028.LDC2009T13_426_31,NYT_ENG_20070329.0028.LDC2009T13_426,Norman Mailer-Edmund Wilson,f,NYT_ENG_20070329.0028.LDC2009T13_426_35-NYT_ENG_20070329.0028.LDC2009T13_426_31,166024
NYT_ENG_20080313.0110.LDC2009T13_924_23,NYT_ENG_20080313.0110.LDC2009T13_924_54,NYT_ENG_20080313.0110.LDC2009T13_924,Will Arnett-Tommy,f,NYT_ENG_20080313.0110.LDC2009T13_924_23-NYT_ENG_20080313.0110.LDC2009T13_924_54,128998
LTW_ENG_20070429.0044.LDC2009T13_563_11,LTW_ENG_20070429.0044.LDC2009T13_563_25,LTW_ENG_20070429.0044.LDC2009T13_563,George W. Bush-Barbara Bush,f,LTW_ENG_20070429.0044.LDC2009T13_563_11-LTW_ENG_20070429.0044.LDC2009T13_563_25,107041
NYT_ENG_20080213.0092.LDC2009T13_742_14,NYT_ENG_20080213.0092.LDC2009T13_742_1,NYT_ENG_20080213.0092.LDC2009T13_742,Michael Rooker-Hayden Christensen,f,NYT_ENG_20080213.0092.LDC2009T13_742_14-NYT_ENG_20080213.0092.LDC2009T13_742_1,35510
LTW_ENG_20081122.0048.LDC2009T13_474_17,LTW_ENG_20081122.0048.LDC2009T13_474_12,LTW_ENG_20081122.0048.LDC2009T13_474,Spencer Tracy-Robert Stack,f,LTW_ENG_20081122.0048.LDC2009T13_474_17-LTW_ENG_20081122.0048.LDC2009T13_474_12,243326
66919@20_20,66919@20_13,66919@20,Nick-Richard Burton,f,66919@20_20-66919@20_13,41318
LTW_ENG_20081218.0067.LDC2009T13_784_4,LTW_ENG_20081218.0067.LDC2009T13_784_25,LTW_ENG_20081218.0067.LDC2009T13_784,Alan Rickman-Ernie Hudson,f,LTW_ENG_20081218.0067.LDC2009T13_784_4-LTW_ENG_20081218.0067.LDC2009T13_784_25,223679
NYT_ENG_20080124.0151.LDC2009T13_658_31,NYT_ENG_20080124.0151.LDC2009T13_658_34,NYT_ENG_20080124.0151.LDC2009T13_658,Catherine Deneuve-Danielle Darrieux,f,NYT_ENG_20080124.0151.LDC2009T13_658_31-NYT_ENG_20080124.0151.LDC2009T13_658_34,33165
LTW_ENG_20080521.0053.LDC2009T13_1011_29,LTW_ENG_20080521.0053.LDC2009T13_1011_37,LTW_ENG_20080521.0053.LDC2009T13_1011,Anna Kournikova-Gloria Estefan,f,LTW_ENG_20080521.0053.LDC2009T13_1011_29-LTW_ENG_20080521.0053.LDC2009T13_1011_37,67430
eng-WL-110-174612-12993923_69_10,eng-WL-110-174612-12993923_69_30,eng-WL-110-174612-12993923_69,Janet Jackson-Frankie J,f,eng-WL-110-174612-12993923_69_10-eng-WL-110-174612-12993923_69_30,87999
AFP_ENG_20070414.0183.LDC2009T13_435_10,AFP_ENG_20070414.0183.LDC2009T13_435_0,AFP_ENG_20070414.0183.LDC2009T13_435,Guy Ritchie-David,f,AFP_ENG_20070414.0183.LDC2009T13_435_10-AFP_ENG_20070414.0183.LDC2009T13_435_0,7002
NYT_ENG_20070209.0096.LDC2009T13_816_17,NYT_ENG_20070209.0096.LDC2009T13_816_20,NYT_ENG_20070209.0096.LDC2009T13_816,Liza Minnelli-Robert Downey Jr.,f,NYT_ENG_20070209.0096.LDC2009T13_816_17-NYT_ENG_20070209.0096.LDC2009T13_816_20,240671
LTW_ENG_20080723.0144.LDC2009T13_805_6,LTW_ENG_20080723.0144.LDC2009T13_805_18,LTW_ENG_20080723.0144.LDC2009T13_805,Sarah Churchill-Winston Churchill,f,LTW_ENG_20080723.0144.LDC2009T13_805_6-LTW_ENG_20080723.0144.LDC2009T13_805_18,204046
eng-WL-11-174573-12958470_1657_0,eng-WL-11-174573-12958470_1657_40,eng-WL-11-174573-12958470_1657,Sharon Stone-Kate,f,eng-WL-11-174573-12958470_1657_0-eng-WL-11-174573-12958470_1657_40,148068
77100@87_37,77100@87_12,77100@87,Mariska Hargitay-Brooke Shields,f,77100@87_37-77100@87_12,116530
LTW_ENG_20080108.0056.LDC2009T13_814_22,LTW_ENG_20080108.0056.LDC2009T13_814_20,LTW_ENG_20080108.0056.LDC2009T13_814,Joely Richardson-Natasha,f,LTW_ENG_20080108.0056.LDC2009T13_814_22-LTW_ENG_20080108.0056.LDC2009T13_814_20,204384
APW_ENG_20070403.0835.LDC2009T13_89_27,APW_ENG_20070403.0835.LDC2009T13_89_6,APW_ENG_20070403.0835.LDC2009T13_89,Sarah Jessica Parker-Paul Newman,f,APW_ENG_20070403.0835.LDC2009T13_89_27-APW_ENG_20070403.0835.LDC2009T13_89_6,140109
NYT_ENG_20081203.0008.LDC2009T13_973_7,NYT_ENG_20081203.0008.LDC2009T13_973_0,NYT_ENG_20081203.0008.LDC2009T13_973,Don Gordon-Odetta,f,NYT_ENG_20081203.0008.LDC2009T13_973_7-NYT_ENG_20081203.0008.LDC2009T13_973_0,72071
NYT_ENG_20070503.0100.LDC2009T13_1279_48,NYT_ENG_20070503.0100.LDC2009T13_1279_61,NYT_ENG_20070503.0100.LDC2009T13_1279,Bob Murawski-Danny Elfman,f,NYT_ENG_20070503.0100.LDC2009T13_1279_48-NYT_ENG_20070503.0100.LDC2009T13_1279_61,281154
APW_ENG_20070114.0222.LDC2009T13_183_16,APW_ENG_20070114.0222.LDC2009T13_183_67,APW_ENG_20070114.0222.LDC2009T13_183,James Franklin-Jacob Oram,f,APW_ENG_20070114.0222.LDC2009T13_183_16-APW_ENG_20070114.0222.LDC2009T13_183_67,262676
89851@22_28,89851@22_0,89851@22,Clinton-Clinton,f,89851@22_28-89851@22_0,232161
107943@25_2,107943@25_7,107943@25,Hillary Rodham Clinton-Barack Obama,f,107943@25_2-107943@25_7,228434
eng-WL-106-174566-12931288_23_12,eng-WL-106-174566-12931288_23_42,eng-WL-106-174566-12931288_23,Ben Gazzara-Joe Frazier,f,eng-WL-106-174566-12931288_23_12-eng-WL-106-174566-12931288_23_42,49931
NYT_ENG_20070226.0220.LDC2009T13_589_28,NYT_ENG_20070226.0220.LDC2009T13_589_21,NYT_ENG_20070226.0220.LDC2009T13_589,Joseph-Mary,f,NYT_ENG_20070226.0220.LDC2009T13_589_28-NYT_ENG_20070226.0220.LDC2009T13_589_21,36335
eng-WL-11-174595-12968055_496_27,eng-WL-11-174595-12968055_496_15,eng-WL-11-174595-12968055_496,Rebecca Gayheart-Sheryl Lee Ralph,f,eng-WL-11-174595-12968055_496_27-eng-WL-11-174595-12968055_496_15,220923
NYT_ENG_20070924.0101.LDC2009T13_116_25,NYT_ENG_20070924.0101.LDC2009T13_116_22,NYT_ENG_20070924.0101.LDC2009T13_116,Kristen Bell-Rachel Fox,f,NYT_ENG_20070924.0101.LDC2009T13_116_25-NYT_ENG_20070924.0101.LDC2009T13_116_22,93726
NYT_ENG_20071214.0135.LDC2009T13_8_23,NYT_ENG_20071214.0135.LDC2009T13_8_5,NYT_ENG_20071214.0135.LDC2009T13_8,Simone Signoret-Jim Morrison,f,NYT_ENG_20071214.0135.LDC2009T13_8_23-NYT_ENG_20071214.0135.LDC2009T13_8_5,151636
AFP_ENG_20081110.0552.LDC2009T13_455_43,AFP_ENG_20081110.0552.LDC2009T13_455_7,AFP_ENG_20081110.0552.LDC2009T13_455,Cameron White-Michael Clarke,f,AFP_ENG_20081110.0552.LDC2009T13_455_43-AFP_ENG_20081110.0552.LDC2009T13_455_7,106482
eng-WL-11-174595-12967850_657_7,eng-WL-11-174595-12967850_657_25,eng-WL-11-174595-12967850_657,Nick Lachey-Christina Milian,f,eng-WL-11-174595-12967850_657_7-eng-WL-11-174595-12967850_657_25,208555
AFP_ENG_20080415.0504.LDC2009T13_6_4,AFP_ENG_20080415.0504.LDC2009T13_6_33,AFP_ENG_20080415.0504.LDC2009T13_6,Helmut Kohl-Kohl,f,AFP_ENG_20080415.0504.LDC2009T13_6_4-AFP_ENG_20080415.0504.LDC2009T13_6_33,158391
AFP_ENG_20080430.0201.LDC2009T13_11_70,AFP_ENG_20080430.0201.LDC2009T13_11_9,AFP_ENG_20080430.0201.LDC2009T13_11,Elizabeth II-Mike Tindall,f,AFP_ENG_20080430.0201.LDC2009T13_11_70-AFP_ENG_20080430.0201.LDC2009T13_11_9,164666
eng-WL-11-174611-12982274_204_37,eng-WL-11-174611-12982274_204_34,eng-WL-11-174611-12982274_204,Chita Rivera-Judy Garland,f,eng-WL-11-174611-12982274_204_37-eng-WL-11-174611-12982274_204_34,220340
eng-WL-110-174612-12993790_90_17,eng-WL-110-174612-12993790_90_19,eng-WL-110-174612-12993790_90,Rihanna-Christina Milian,f,eng-WL-110-174612-12993790_90_17-eng-WL-110-174612-12993790_90_19,275780
eng-WL-110-174612-12991749_58_119,eng-WL-110-174612-12991749_58_153,eng-WL-110-174612-12991749_58,Gwen Stefani-Keri Hilson,f,eng-WL-110-174612-12991749_58_119-eng-WL-110-174612-12991749_58_153,170930
NYT_ENG_20070503.0100.LDC2009T13_1279_75,NYT_ENG_20070503.0100.LDC2009T13_1279_10,NYT_ENG_20070503.0100.LDC2009T13_1279,J. Michael Riva-Ivan Raimi,f,NYT_ENG_20070503.0100.LDC2009T13_1279_75-NYT_ENG_20070503.0100.LDC2009T13_1279_10,14839
eng-WL-109-174581-12950893_678_63,eng-WL-109-174581-12950893_678_42,eng-WL-109-174581-12950893_678,Frederique Van Der Wal-Elizabeth Berkley,f,eng-WL-109-174581-12950893_678_63-eng-WL-109-174581-12950893_678_42,31870
AFP_ENG_20080110.0772.LDC2009T13_337_16,AFP_ENG_20080110.0772.LDC2009T13_337_3,AFP_ENG_20080110.0772.LDC2009T13_337,Chiang Ching-kuo-Chen,f,AFP_ENG_20080110.0772.LDC2009T13_337_16-AFP_ENG_20080110.0772.LDC2009T13_337_3,215670
eng-NG-31-142893-10116373_581_49,eng-NG-31-142893-10116373_581_21,eng-NG-31-142893-10116373_581,David-Jacob,f,eng-NG-31-142893-10116373_581_49-eng-NG-31-142893-10116373_581_21,12506
NYT_ENG_20071004.0136.LDC2009T13_1016_5,NYT_ENG_20071004.0136.LDC2009T13_1016_30,NYT_ENG_20071004.0136.LDC2009T13_1016,Bobby Farrelly-Neil Simon,f,NYT_ENG_20071004.0136.LDC2009T13_1016_5-NYT_ENG_20071004.0136.LDC2009T13_1016_30,226840
eng-NG-31-100578-10894936_135_9,eng-NG-31-100578-10894936_135_45,eng-NG-31-100578-10894936_135,Bush-George W. Bush,f,eng-NG-31-100578-10894936_135_9-eng-NG-31-100578-10894936_135_45,149442
eng-WL-11-174611-12981687_6_12,eng-WL-11-174611-12981687_6_16,eng-WL-11-174611-12981687_6,Nancy Reagan-John McCain,f,eng-WL-11-174611-12981687_6_12-eng-WL-11-174611-12981687_6_16,187609
98134@59_21,98134@59_31,98134@59,Obama-Obama,f,98134@59_21-98134@59_31,271926
NYT_ENG_20070222.0063.LDC2009T13_312_15,NYT_ENG_20070222.0063.LDC2009T13_312_37,NYT_ENG_20070222.0063.LDC2009T13_312,Michael-Michael,f,NYT_ENG_20070222.0063.LDC2009T13_312_15-NYT_ENG_20070222.0063.LDC2009T13_312_37,103874
NYT_ENG_20071004.0136.LDC2009T13_1115_26,NYT_ENG_20071004.0136.LDC2009T13_1115_39,NYT_ENG_20071004.0136.LDC2009T13_1115,Rob Corddry-Scott Wilson,f,NYT_ENG_20071004.0136.LDC2009T13_1115_26-NYT_ENG_20071004.0136.LDC2009T13_1115_39,246600
45172@25_6,45172@25_28,45172@25,Lajos Koltai-Natasha Richardson,f,45172@25_6-45172@25_28,3210
eng-NG-31-100893-10928575_504_22,eng-NG-31-100893-10928575_504_14,eng-NG-31-100893-10928575_504,Isaac-Abram,f,eng-NG-31-100893-10928575_504_22-eng-NG-31-100893-10928575_504_14,263267
APW_ENG_20070202.0067.LDC2009T13_196_17,APW_ENG_20070202.0067.LDC2009T13_196_23,APW_ENG_20070202.0067.LDC2009T13_196,Garth Brooks-Dolly Parton,f,APW_ENG_20070202.0067.LDC2009T13_196_17-APW_ENG_20070202.0067.LDC2009T13_196_23,271647
APW_ENG_20070212.0156.LDC2009T13_32_16,APW_ENG_20070212.0156.LDC2009T13_32_22,APW_ENG_20070212.0156.LDC2009T13_32,Natalie Maines-Dan Wilson,f,APW_ENG_20070212.0156.LDC2009T13_32_16-APW_ENG_20070212.0156.LDC2009T13_32_22,162351
LTW_ENG_20070718.0033.LDC2009T13_786_20,LTW_ENG_20070718.0033.LDC2009T13_786_26,LTW_ENG_20070718.0033.LDC2009T13_786,Glenn Kessler-Daniel Zelman,f,LTW_ENG_20070718.0033.LDC2009T13_786_20-LTW_ENG_20070718.0033.LDC2009T13_786_26,167176
69602@14_3,69602@14_27,69602@14,Bob Dylan-Slash,f,69602@14_3-69602@14_27,79268
XIN_ENG_20071230.0100.LDC2009T13_20_25,XIN_ENG_20071230.0100.LDC2009T13_20_5,XIN_ENG_20071230.0100.LDC2009T13_20,Bhutto-Benazir Bhutto,f,XIN_ENG_20071230.0100.LDC2009T13_20_25-XIN_ENG_20071230.0100.LDC2009T13_20_5,112307
9812@14_10,9812@14_20,9812@14,George Reeves-Adrien Brody,f,9812@14_10-9812@14_20,60703
38725@42_4,38725@42_8,38725@42,Debbie-Pete,f,38725@42_4-38725@42_8,154440
43951@14_21,43951@14_42,43951@14,John Cassavetes-Josh Hamilton,f,43951@14_21-43951@14_42,59214
AFP_ENG_20080708.0310.LDC2009T13_221_62,AFP_ENG_20080708.0310.LDC2009T13_221_56,AFP_ENG_20080708.0310.LDC2009T13_221,Mohammed Kaif-Dinesh Karthik,f,AFP_ENG_20080708.0310.LDC2009T13_221_62-AFP_ENG_20080708.0310.LDC2009T13_221_56,99312
LTW_ENG_20081028.0150.LDC2009T13_932_33,LTW_ENG_20081028.0150.LDC2009T13_932_0,LTW_ENG_20081028.0150.LDC2009T13_932,Garry Watson-Watson,f,LTW_ENG_20081028.0150.LDC2009T13_932_33-LTW_ENG_20081028.0150.LDC2009T13_932_0,184421
1938@19_17,1938@19_19,1938@19,Helen-Barbara Flynn,f,1938@19_17-1938@19_19,152989
AFP_ENG_20070206.0377.LDC2009T13_739_24,AFP_ENG_20070206.0377.LDC2009T13_739_30,AFP_ENG_20070206.0377.LDC2009T13_739,Frank Lampard-Peter Crouch,f,AFP_ENG_20070206.0377.LDC2009T13_739_24-AFP_ENG_20070206.0377.LDC2009T13_739_30,4630
APW_ENG_20070831.0069.LDC2009T13_61_11,APW_ENG_20070831.0069.LDC2009T13_61_61,APW_ENG_20070831.0069.LDC2009T13_61,Russell Crowe-Tim Burton,f,APW_ENG_20070831.0069.LDC2009T13_61_11-APW_ENG_20070831.0069.LDC2009T13_61_61,216383
eng-WL-11-174594-12964050_112_68,eng-WL-11-174594-12964050_112_16,eng-WL-11-174594-12964050_112,Jennifer Hudson-Carrie Underwood,f,eng-WL-11-174594-12964050_112_68-eng-WL-11-174594-12964050_112_16,261869
APW_ENG_20080706.0381.LDC2009T13_127_2,APW_ENG_20080706.0381.LDC2009T13_127_11,APW_ENG_20080706.0381.LDC2009T13_127,Michael Clarke-Michael Hussey,f,APW_ENG_20080706.0381.LDC2009T13_127_2-APW_ENG_20080706.0381.LDC2009T13_127_11,159800
eng-NG-31-142891-10111036_452_18,eng-NG-31-142891-10111036_452_6,eng-NG-31-142891-10111036_452,Solomon-David,f,eng-NG-31-142891-10111036_452_18-eng-NG-31-142891-10111036_452_6,203070
84645@44_20,84645@44_7,84645@44,Miller-John R. Miller,f,84645@44_20-84645@44_7,117696
APW_ENG_20080201.0077.LDC2009T13_311_30,APW_ENG_20080201.0077.LDC2009T13_311_37,APW_ENG_20080201.0077.LDC2009T13_311,Meryl Streep-Amy Adams,f,APW_ENG_20080201.0077.LDC2009T13_311_30-APW_ENG_20080201.0077.LDC2009T13_311_37,159075
NYT_ENG_20071219.0086.LDC2009T13_1098_14,NYT_ENG_20071219.0086.LDC2009T13_1098_20,NYT_ENG_20071219.0086.LDC2009T13_1098,Ben Gazzara-Fred,f,NYT_ENG_20071219.0086.LDC2009T13_1098_14-NYT_ENG_20071219.0086.LDC2009T13_1098_20,18315
