weight	pos_examples	neg_examples	queries	description
-0.420883	47	322	650	f_has_spouse_features-NGRAM_1_[Gov.]
-0.417811	169	5810	20891	f_has_spouse_features-NGRAM_2_[-rrb- ,]
-0.414908	0	126	385	f_has_spouse_features-LENGTHS_[3_0]
-0.41457	50	204	379	f_has_spouse_features-NGRAM_2_[, have]
-0.409163	2	663	1562	f_has_spouse_features-NGRAM_1_[Janet]
-0.407279	2	88	70	f_has_spouse_features-NGRAM_2_[child of]
-0.400107	11	585	997	f_has_spouse_features-INV_NGRAM_1_[Lee]
-0.396514	2	119	108	f_has_spouse_features-BETW_D_[poss DICT_non_married appos]
-0.395871	14	871	1768	f_has_spouse_features-POS_SEQ_[, NNP NNP , NNP NNP ,]
-0.39262	10	317	496	f_has_spouse_features-INV_NGRAM_1_[Elizabeth]
-0.392162	3	87	34	f_has_spouse_features-W_LEMMA_L_1_R_1_[star]_[and]
-0.391645	46	185	343	f_has_spouse_features-NGRAM_1_[into]
-0.391338	0	126	385	f_has_spouse_features-INV_LENGTHS_[0_3]
-0.390694	5	293	374	f_has_spouse_features-INV_NGRAM_1_[Kate]
-0.390557	5	293	374	f_has_spouse_features-NGRAM_1_[Kate]
-0.389449	34	1254	3394	f_has_spouse_features-NGRAM_1_[David]
