doc_id,id,mid1,mid2,word1,word2,type1,type2,feature,bit
LTW_ENG_20080509.0121.LDC2009T13,669416545,LTW_ENG_20080509.0121.LDC2009T13_893_899,LTW_ENG_20080509.0121.LDC2009T13_585_603,mccain,arizona republican,PERSON,ORGANIZATION,SEQ_INV_NGRAM_1_%|%~!staff,262143
eng-WL-11-174595-12968129,249340086,eng-WL-11-174595-12968129_1507_1535,eng-WL-11-174595-12968129_1444_1446,victoria & albert museum,uk,ORGANIZATION,COUNTRY,SEQ_INV_NGRAM_1_%|%~!with,262143
NYT_ENG_20080419.0122.LDC2009T13,702511518,NYT_ENG_20080419.0122.LDC2009T13_5234_5246,NYT_ENG_20080419.0122.LDC2009T13_5295_5306,barack obama,john mccain,PERSON,PERSON,SEQ_NGRAM_2_%|%~!prefer@|@~!he,262143
eng-NG-31-101415-11617096,1158677344,eng-NG-31-101415-11617096_5855_5868,eng-NG-31-101415-11617096_5671_5681,eamonn walker,james bond,PERSON,PERSON,SEQ_INV_NGRAM_1_%|%~!off,262143
NYT_ENG_20070608.0009.LDC2009T13,1787777766,NYT_ENG_20070608.0009.LDC2009T13_453_461,NYT_ENG_20070608.0009.LDC2009T13_296_308,lee baca,paris hilton,PERSON,ORGANIZATION,SEQ_INV_NGRAM_1_%|%~!be,262143
AFP_ENG_20070109.0020.LDC2009T13,365463573,AFP_ENG_20070109.0020.LDC2009T13_700_711,AFP_ENG_20070109.0020.LDC2009T13_730_744,maza zabala,globovision tv,PERSON,ORGANIZATION,LEN_LENGTHS_%|%11%|%14,262143
eng-WL-11-174598-12964778,390846239,eng-WL-11-174598-12964778_51879_51887,eng-WL-11-174598-12964778_52193_52201,magorium,magician,PERSON,TITLE,"SEQ_NGRAM_2_%|%~!-rrb-@|@~!,",262143
NYT_ENG_20080407.0097.LDC2009T13,1842061362,NYT_ENG_20080407.0097.LDC2009T13_1395_1400,NYT_ENG_20080407.0097.LDC2009T13_1298_1300,johns,20,PERSON,NUMBER,SEQ_INV_NGRAM_1_%|%~!two,262143
eng-WL-11-174596-12955566,87602026,eng-WL-11-174596-12955566_907_911,eng-WL-11-174596-12955566_1110_1128,gore,the next ten years,PERSON,DURATION,SEQ_NGRAM_1_%|%~!$,262143
AFP_ENG_20070726.0371.LDC2009T13,1321430156,AFP_ENG_20070726.0371.LDC2009T13_449_461,AFP_ENG_20070726.0371.LDC2009T13_678_681,fidel castro,day,PERSON,DURATION,SEQ_NGRAM_3_%|%~!make@|@~!he@|@~!first,262143
eng-WL-11-174598-12964840,796661463,eng-WL-11-174598-12964840_46830_46842,eng-WL-11-174598-12964840_46800_46812,brenda starr,mariah carey,PERSON,PERSON,SEQ_INV_WIN_LEMMA_L_2_R_1_%|%~!I@|@~!of%|%~!.,262143
eng-WL-11-174583-12935669,1018483337,eng-WL-11-174583-12935669_38401_38406,eng-WL-11-174583-12935669_38327_38336,dobbs,greenspan,PERSON,PERSON,SEQ_INV_WIN_NER_L_3_R_2_%|%O@|@DURATION@|@O%|%O@|@PERSON,262143
NYT_ENG_20070416.0087.LDC2009T13,1278886338,NYT_ENG_20070416.0087.LDC2009T13_3665_3673,NYT_ENG_20070416.0087.LDC2009T13_3590_3597,giuliani,senator,PERSON,TITLE,SEQ_INV_NGRAM_2_%|%~!Fred@|@~!Thompson,262143
NYT_ENG_20070523.0190.LDC2009T13,107388858,NYT_ENG_20070523.0190.LDC2009T13_775_787,NYT_ENG_20070523.0190.LDC2009T13_885_889,yolanda king,1968,PERSON,DATE,SEQ_NGRAM_3_%|%~!in@|@~!the@|@~!funeral,262143
eng-WL-11-174595-12968146,1442033140,eng-WL-11-174595-12968146_8825_8831,eng-WL-11-174595-12968146_9006_9012,jenner,jenner,PERSON,PERSON,SEQ_NGRAM_1_%|%~!characterize,262143
NYT_ENG_20070418.0154.LDC2009T13,492582744,NYT_ENG_20070418.0154.LDC2009T13_3153_3165,NYT_ENG_20070418.0154.LDC2009T13_3171_3180,jack mcguire,red cross,PERSON,ORGANIZATION,SEQ_WIN_NER_L_2_R_3_%|%O@|@O%|%O@|@O@|@TITLE,262143
AFP_ENG_20070116.0538.LDC2009T13,1330711761,AFP_ENG_20070116.0538.LDC2009T13_2343_2367,AFP_ENG_20070116.0538.LDC2009T13_2312_2314,house of representatives,63,ORGANIZATION,NUMBER,SEQ_INV_NGRAM_1_%|%~!a,262143
eng-WL-11-174595-12968409,1573965591,eng-WL-11-174595-12968409_2045_2057,eng-WL-11-174595-12968409_1989_1994,sean preston,judge,PERSON,TITLE,SEQ_INV_WIN_NER_L_1_R_3_%|%TITLE%|%O@|@O@|@PERSON,262143
eng-WL-11-174595-12968208,172395477,eng-WL-11-174595-12968208_4951_4956,eng-WL-11-174595-12968208_4976_4982,david,father,PERSON,TITLE,IND_STARTS_WITH_CAPITAL_%|%True%|%False,262143
APW_ENG_20071116.0402.LDC2009T13,683449823,APW_ENG_20071116.0402.LDC2009T13_4877_4893,APW_ENG_20071116.0402.LDC2009T13_4860_4867,samsung everland,current,ORGANIZATION,DATE,IND_INV_KW_%|%founder,262143
eng-WL-11-174595-12968423,2145579980,eng-WL-11-174595-12968423_7340_7352,eng-WL-11-174595-12968423_7596_7605,cirque lodge,ken paves,ORGANIZATION,PERSON,SEQ_NGRAM_2_%|%~!North@|@~!Hollywood,262143
eng-WL-11-174598-12965447,18064230,eng-WL-11-174598-12965447_9664_9669,eng-WL-11-174598-12965447_9810_9811,chris,7,PERSON,NUMBER,SEQ_NGRAM_3_%|%~!singing@|@~!she@|@~!',262143
AFP_ENG_20070811.0248.LDC2009T13,1691287536,AFP_ENG_20070811.0248.LDC2009T13_303_310,AFP_ENG_20070811.0248.LDC2009T13_437_445,madonna,saturday,PERSON,DATE,SEQ_NGRAM_2_%|%~!of@|@~!the,262143
AFP_ENG_20081204.0134.LDC2009T13,1689953443,AFP_ENG_20081204.0134.LDC2009T13_808_820,AFP_ENG_20081204.0134.LDC2009T13_964_977,teatro royal,"january , 2010",ORGANIZATION,DATE,"SEQ_NGRAM_2_%|%~!,@|@~!currently",262143
NYT_ENG_20080114.0064.LDC2009T13,347678540,NYT_ENG_20080114.0064.LDC2009T13_3991_4000,NYT_ENG_20080114.0064.LDC2009T13_3927_3940,neil finn,elliott smith,PERSON,PERSON,SEQ_INV_NGRAM_3_%|%~!Oberst@|@~!and@|@~!reveal,262143
NYT_ENG_20080419.0122.LDC2009T13,246122525,NYT_ENG_20080419.0122.LDC2009T13_2101_2117,NYT_ENG_20080419.0122.LDC2009T13_2411_2418,david e. johnson,clinton,PERSON,PERSON,"SEQ_NGRAM_2_%|%~!Vision@|@~!,",262143
eng-WL-11-174592-12942566,1318829415,eng-WL-11-174592-12942566_5163_5169,eng-WL-11-174592-12942566_5114_5118,thomas,zach,PERSON,PERSON,SEQ_INV_WIN_NER_L_3_R_1_%|%O@|@O@|@O%|%O,262143
eng-WL-11-174598-12964778,4454767,eng-WL-11-174598-12964778_97090_97096,eng-WL-11-174598-12964778_97010_97024,esther,britney spears,PERSON,PERSON,SEQ_INV_WIN_NER_L_1_R_2_%|%O%|%O@|@O,262143
LTW_ENG_20071217.0012.LDC2009T13,35684475,LTW_ENG_20071217.0012.LDC2009T13_436_455,LTW_ENG_20071217.0012.LDC2009T13_651_662,joseph r. biden jr.,connecticut,PERSON,STATE_OR_PROVINCE,"SEQ_WIN_LEMMA_L_3_R_3_%|%~!friend@|@~!,@|@~!Sen.%|%~!during@|@~!the@|@~!_NUMBER",262143
NYT_ENG_20070717.0009.LDC2009T13,1314381813,NYT_ENG_20070717.0009.LDC2009T13_252_265,NYT_ENG_20070717.0009.LDC2009T13_507_527,touro college,robert m. morgenthau,ORGANIZATION,PERSON,SEQ_NGRAM_3_%|%~!take@|@~!part@|@~!in,262143
APW_ENG_20080807.1163.LDC2009T13,2119216164,APW_ENG_20080807.1163.LDC2009T13_597_613,APW_ENG_20080807.1163.LDC2009T13_471_478,associated press,knowles,ORGANIZATION,PERSON,SEQ_INV_WIN_LEMMA_L_1_R_3_%|%~!Ms.%|%~!through@|@~!the@|@~!singer,262143
XIN_ENG_20080303.0379.LDC2009T13,993377344,XIN_ENG_20080303.0379.LDC2009T13_1273_1286,XIN_ENG_20080303.0379.LDC2009T13_1332_1340,rafael correa,colombia,PERSON,COUNTRY,"SEQ_WIN_LEMMA_L_3_R_2_%|%~!Ecuador@|@~!'s@|@~!President%|%~!,@|@~!with",262143
eng-WL-111-174637-12996192,956048621,eng-WL-111-174637-12996192_5766_5771,eng-WL-111-174637-12996192_5846_5851,clyne,carle,PERSON,PERSON,SEQ_NGRAM_2_%|%~!4@|@~!-rrb-,262143
AFP_ENG_20070608.0105.LDC2009T13,1216318380,AFP_ENG_20070608.0105.LDC2009T13_2523_2532,AFP_ENG_20070608.0105.LDC2009T13_2534_2542,najee ali,director,PERSON,TITLE,SEQ_WIN_NER_L_3_R_1_%|%O@|@O@|@O%|%O,262143
XIN_ENG_20070619.0007.LDC2009T13,360626943,XIN_ENG_20070619.0007.LDC2009T13_1083_1088,XIN_ENG_20070619.0007.LDC2009T13_1050_1055,espin,cuban,PERSON,NATIONALITY,SEQ_INV_LEMMA_%|%~!leader@|@~!will@|@~!pay@|@~!homage@|@~!to,262143
eng-WL-11-174595-12967989,630137599,eng-WL-11-174595-12967989_11259_11264,eng-WL-11-174595-12967989_11309_11313,david,thai,PERSON,NATIONALITY,SEQ_NGRAM_3_%|%~!amazing@|@~!Thai@|@~!place,262143
AFP_ENG_20081102.0072.LDC2009T13,1564657857,AFP_ENG_20081102.0072.LDC2009T13_4033_4040,AFP_ENG_20081102.0072.LDC2009T13_3995_3998,renault,two,ORGANIZATION,NUMBER,SEQ_INV_WIN_NER_L_2_R_3_%|%O@|@O%|%O@|@ORDINAL@|@O,262143
APW_ENG_20070417.0056.LDC2009T13,204072727,APW_ENG_20070417.0056.LDC2009T13_2323_2342,APW_ENG_20070417.0056.LDC2009T13_2299_2305,united steelworkers,friday,ORGANIZATION,DATE,LEN_INV_LENGTHS_%|%19%|%6,262143
NYT_ENG_20070404.0010.LDC2009T13,1190387952,NYT_ENG_20070404.0010.LDC2009T13_2006_2014,NYT_ENG_20070404.0010.LDC2009T13_2268_2270,far inc.,30,ORGANIZATION,NUMBER,SEQ_NGRAM_1_%|%~!Smart,262143
XIN_ENG_20071115.0188.LDC2009T13,1610812739,XIN_ENG_20071115.0188.LDC2009T13_1787_1790,XIN_ENG_20071115.0188.LDC2009T13_1721_1732,cpc,raul castro,ORGANIZATION,PERSON,SEQ_INV_WIN_NER_L_3_R_2_%|%O@|@ORGANIZATION@|@O%|%O@|@O,262143
APW_ENG_20080813.1468.LDC2009T13,459312699,APW_ENG_20080813.1468.LDC2009T13_1003_1008,APW_ENG_20080813.1468.LDC2009T13_979_983,lynne,once,PERSON,DATE,SEQ_INV_WIN_NER_L_2_R_1_%|%O@|@DATE%|%None,262143
APW_ENG_20070528.0659.LDC2009T13,500312684,APW_ENG_20070528.0659.LDC2009T13_2058_2065,APW_ENG_20070528.0659.LDC2009T13_2129_2136,lugovoi,russian,PERSON,NATIONALITY,SEQ_WIN_NER_L_3_R_3_%|%O@|@O@|@O%|%O@|@O@|@O,262143
AFP_ENG_20070316.0658.LDC2009T13,700181039,AFP_ENG_20070316.0658.LDC2009T13_825_832,AFP_ENG_20070316.0658.LDC2009T13_913_921,ferrari,0.483 sec,ORGANIZATION,DURATION,SEQ_NGRAM_1_%|%~!fill,262143
eng-NG-31-138139-9803479,570312553,eng-NG-31-138139-9803479_4018_4037,eng-NG-31-138139-9803479_4048_4051,oscar de los reyes,bbc,PERSON,ORGANIZATION,SEQ_WIN_NER_L_1_R_1_%|%O%|%O,262143
XIN_ENG_20070425.0092.LDC2009T13,49098367,XIN_ENG_20070425.0092.LDC2009T13_637_649,XIN_ENG_20070425.0092.LDC2009T13_458_466,javad vaeedi,larijani,PERSON,PERSON,SEQ_INV_NGRAM_3_%|%~!Security@|@~!Council@|@~!-lrb-,262143
XIN_ENG_20071115.0188.LDC2009T13,154050465,XIN_ENG_20071115.0188.LDC2009T13_290_307,XIN_ENG_20071115.0188.LDC2009T13_315_338,central committee,communist party of cuba,ORGANIZATION,ORGANIZATION,SEQ_WIN_NER_L_3_R_1_%|%TITLE@|@O@|@O%|%O,262143
APW_ENG_20070807.0450.LDC2009T13,1603714262,APW_ENG_20070807.0450.LDC2009T13_598_602,APW_ENG_20070807.0450.LDC2009T13_472_478,hoya,pentax,PERSON,ORGANIZATION,SEQ_INV_NGRAM_3_%|%~!tokyo-based@|@~!electronics@|@~!and,262143
eng-WL-11-174643-13000303,1185354012,eng-WL-11-174643-13000303_2323_2327,eng-WL-11-174643-13000303_2479_2485,pitt,mother,PERSON,TITLE,"SEQ_NGRAM_3_%|%~!married@|@~!man@|@~!,",262143
APW_ENG_20070619.1479.LDC2009T13,1171947527,APW_ENG_20070619.1479.LDC2009T13_3987_3992,APW_ENG_20070619.1479.LDC2009T13_3890_3895,fidel,espin,PERSON,PERSON,SEQ_INV_NGRAM_2_%|%~!45@|@~!year,262143
AFP_ENG_20080107.0183.LDC2009T13,603574315,AFP_ENG_20080107.0183.LDC2009T13_2379_2387,AFP_ENG_20080107.0183.LDC2009T13_2292_2301,hamilton,last year,PERSON,DATE,SEQ_INV_NGRAM_3_%|%~!would@|@~!not@|@~!be,262143
NYT_ENG_20071212.0006.LDC2009T13,1054472121,NYT_ENG_20071212.0006.LDC2009T13_4201_4207,NYT_ENG_20071212.0006.LDC2009T13_4346_4355,prince,citigroup,PERSON,ORGANIZATION,SEQ_NGRAM_1_%|%~!in,262143
NYT_ENG_20081212.0172.LDC2009T13,15622714,NYT_ENG_20081212.0172.LDC2009T13_1067_1081,NYT_ENG_20081212.0172.LDC2009T13_957_971,biltrite corp.,carol goldberg,ORGANIZATION,PERSON,SEQ_INV_NGRAM_1_%|%~!the,262143
eng-WL-11-174592-12942559,1341345411,eng-WL-11-174592-12942559_1433_1446,eng-WL-11-174592-12942559_1551_1556,jordin sparks,15.85,PERSON,NUMBER,SEQ_NGRAM_2_%|%~!vote@|@~!off,262143
NYT_ENG_20080214.0218.LDC2009T13,394218743,NYT_ENG_20080214.0218.LDC2009T13_1071_1086,NYT_ENG_20080214.0218.LDC2009T13_1094_1098,ethan s. harris,u.s.,PERSON,COUNTRY,SEQ_WIN_LEMMA_L_1_R_3_%|%~!.%|%~!economist@|@~!for@|@~!Lehman,262143
APW_ENG_20070201.0226.LDC2009T13,2052076069,APW_ENG_20070201.0226.LDC2009T13_3330_3336,APW_ENG_20070201.0226.LDC2009T13_3657_3662,chavez,model,PERSON,TITLE,SEQ_NGRAM_2_%|%~!wealth@|@~!'',262143
APW_ENG_20081208.0368.LDC2009T13,479368645,APW_ENG_20081208.0368.LDC2009T13_2826_2828,APW_ENG_20081208.0368.LDC2009T13_2617_2619,gm,gm,ORGANIZATION,ORGANIZATION,SEQ_INV_NGRAM_2_%|%~!the@|@~!company,262143
eng-NG-31-141776-9965071,688645269,eng-NG-31-141776-9965071_432_441,eng-NG-31-141776-9965071_310_331,avi karni,ninety minute daytime,PERSON,DATE,SEQ_INV_NGRAM_2_%|%~!long@|@~!term,262143
NYT_ENG_20080224.0133.LDC2009T13,177003094,NYT_ENG_20080224.0133.LDC2009T13_5229_5233,NYT_ENG_20080224.0133.LDC2009T13_5163_5166,raul,one,PERSON,NUMBER,SEQ_INV_WIN_NER_L_3_R_3_%|%O@|@O@|@O%|%O@|@O@|@O,262143
NYT_ENG_20080401.0197.LDC2009T13,946351055,NYT_ENG_20080401.0197.LDC2009T13_2107_2136,NYT_ENG_20080401.0197.LDC2009T13_2054_2076,financial services roundtable,housing policy council,ORGANIZATION,ORGANIZATION,"SEQ_INV_WORD_%|%,@|@which@|@in@|@turn@|@is@|@part@|@of@|@the",262143
APW_ENG_20070504.0798.LDC2009T13,1684015701,APW_ENG_20070504.0798.LDC2009T13_2548_2551,APW_ENG_20070504.0798.LDC2009T13_2678_2681,abc,one,ORGANIZATION,NUMBER,SEQ_WIN_LEMMA_L_2_R_1_%|%~!escort@|@~!.%|%~!of,262143
AFP_ENG_20070116.0444.LDC2009T13,1097661787,AFP_ENG_20070116.0444.LDC2009T13_991_997,AFP_ENG_20070116.0444.LDC2009T13_1065_1069,castro,cuba,PERSON,COUNTRY,SEQ_NGRAM_1_%|%~!the,262143
APW_ENG_20080522.0266.LDC2009T13,849544345,APW_ENG_20080522.0266.LDC2009T13_5014_5018,APW_ENG_20080522.0266.LDC2009T13_4972_4978,nash,brooke,PERSON,PERSON,DEP_INV_BETW_L_%|%nsubj@|@ccomp@|@nsubj,262143
NYT_ENG_20081031.0087.LDC2009T13,416311343,NYT_ENG_20081031.0087.LDC2009T13_2471_2514,NYT_ENG_20081031.0087.LDC2009T13_2251_2255,democratic congressional campaign committee,1998,ORGANIZATION,DATE,"SEQ_INV_NGRAM_2_%|%~!,@|@~!bury",262143
NYT_ENG_20071011.0107.LDC2009T13,1678220231,NYT_ENG_20071011.0107.LDC2009T13_7642_7655,NYT_ENG_20071011.0107.LDC2009T13_7436_7439,michael clegg,one,PERSON,NUMBER,SEQ_INV_NGRAM_3_%|%~!we@|@~!roll@|@~!Easter,262143
APW_ENG_20080506.1399.LDC2009T13,77043786,APW_ENG_20080506.1399.LDC2009T13_2686_2704,APW_ENG_20080506.1399.LDC2009T13_2883_2894,yeshiva university,long island,ORGANIZATION,LOCATION,"SEQ_NGRAM_1_%|%~!,",262143
eng-WL-11-174595-12968331,1719465389,eng-WL-11-174595-12968331_17539_17543,eng-WL-11-174595-12968331_17517_17521,milo,dino,PERSON,PERSON,IND_IS_INVERTED,262143
AFP_ENG_20070220.0532.LDC2009T13,103685447,AFP_ENG_20070220.0532.LDC2009T13_3173_3181,AFP_ENG_20070220.0532.LDC2009T13_3070_3074,larijani,iaea,PERSON,ORGANIZATION,SEQ_INV_NGRAM_1_%|%~!agency,262143
eng-WL-11-174611-12980028,1722049517,eng-WL-11-174611-12980028_873_886,eng-WL-11-174611-12980028_723_732,ml strategies,mark buse,ORGANIZATION,PERSON,SEQ_INV_NGRAM_2_%|%~!sign@|@~!on,262143
eng-NG-31-142883-10102877,1614264659,eng-NG-31-142883-10102877_1217_1223,eng-NG-31-142883-10102877_1308_1312,chavez,adan,PERSON,PERSON,SEQ_NGRAM_2_%|%~!to@|@~!Chavez,262143
eng-NG-31-101415-11617096,1037942915,eng-NG-31-101415-11617096_2125_2138,eng-NG-31-101415-11617096_2202_2212,brothers phil,south side,ORGANIZATION,LOCATION,DEP_BETW_L_%|%rcmod@|@dobj@|@prep_on,262143
APW_ENG_20070413.0359.LDC2009T13,258538924,APW_ENG_20070413.0359.LDC2009T13_561_582,APW_ENG_20070413.0359.LDC2009T13_727_730,deborah jeane palfrey,one,PERSON,NUMBER,LEN_LENGTHS_%|%21%|%3,262143
eng-WL-11-174572-12950301,959810784,eng-WL-11-174572-12950301_3190_3205,eng-WL-11-174572-12950301_3235_3247,stephanie pratt,whitney port,PERSON,LOCATION,DEP_BETW_L_%|%prep_with@|@parataxis@|@parataxis@|@nsubj,262143
NYT_ENG_20070727.0186.LDC2009T13,1239370226,NYT_ENG_20070727.0186.LDC2009T13_5893_5905,NYT_ENG_20070727.0186.LDC2009T13_6012_6019,brian latell,brother,PERSON,TITLE,SEQ_NGRAM_1_%|%~!shortly,262143
NYT_ENG_20071011.0107.LDC2009T13,379840880,NYT_ENG_20071011.0107.LDC2009T13_5209_5222,NYT_ENG_20071011.0107.LDC2009T13_5436_5447,arlen specter,mike dewine,PERSON,PERSON,SEQ_NGRAM_3_%|%~!Republican@|@~!Orrin@|@~!Hatch,262143
