weight	description
-1.50317	inference_rule_formationinterval-[SAMESENT PROV=--nn->formation--prep_from->conodont--dep->|?|<-dep--)<-amod--] 
-1.50226	inference_rule_formation-[SAMESENT PROV=INV:brachiopods_from_the] 
-1.49781	inference_rule_formation-[SAMESENT PROV=--dep->|SAMEPATH] 
-1.49779	inference_rule_formation-[SAMESENT PROV=NUMBER_MISC] 
-1.49392	inference_rule_formation-[SAMESENT PROV=SAMEPATH|<-amod--] 
-1.49347	inference_rule_formation-[SAMESENT PROV=INV:)_of_the] 
-1.48879	inference_rule_formation-[SAMESENT PROV=--prep_of->|SAMEPATH] 
-1.45241	inference_rule_formation-[SAMESENT PROV=INV:Series_,] 
-1.44744	inference_rule_formation-[SAMESENT PROV=and_Appel_Ranch_Member_of] 
-1.44166	inference_rule_formation-[SAMESENT PROV=INV:(_Early_Cretaceous_)_fossil_assemblage_from_the_Kuwajima_Formation_,] 
-1.44096	inference_rule_formation-[SAMESENT PROV=--dep->|)|<-amod--] 
