doc_id,id,mid1,mid2,word1,word2,rel,is_correct
NYT_ENG_20070215.0121.LDC2009T13,95658,NYT_ENG_20070215.0121.LDC2009T13_2695_2709,NYT_ENG_20070215.0121.LDC2009T13_2648_2664,george w. bush,george h.w. bush,per:parents,t
eng-WL-11-174587-12961626,326027,eng-WL-11-174587-12961626_339_352,eng-WL-11-174587-12961626_371_383,spencer pratt,heidi montag,per:spouse,t
eng-WL-11-174598-12964778,191077,eng-WL-11-174598-12964778_39215_39219,eng-WL-11-174598-12964778_39224_39230,demi,ashton,per:spouse,t
eng-WL-11-174595-12968208,127760,eng-WL-11-174595-12968208_9649_9663,eng-WL-11-174595-12968208_9717_9731,kate middleton,prince william,per:spouse,t
AFP_ENG_20071002.0041.LDC2009T13,46998,AFP_ENG_20071002.0041.LDC2009T13_1265_1284,AFP_ENG_20071002.0041.LDC2009T13_1255_1264,mahmoud ahmadinejad,president,per:title,t
APW_ENG_20080219.0423.LDC2009T13,253966,APW_ENG_20080219.0423.LDC2009T13_3172_3187,APW_ENG_20080219.0423.LDC2009T13_3162_3171,john f. kennedy,president,per:title,t
NYT_ENG_20070327.0226.LDC2009T13,260607,NYT_ENG_20070327.0226.LDC2009T13_2254_2273,NYT_ENG_20070327.0226.LDC2009T13_2244_2253,lawrence h. summers,president,per:title,t
APW_ENG_20080714.0136.LDC2009T13,115312,APW_ENG_20080714.0136.LDC2009T13_2942_2964,APW_ENG_20080714.0136.LDC2009T13_2858_2870,hillary rodham clinton,bill clinton,per:spouse,t
eng-WL-11-174595-12967989,191075,eng-WL-11-174595-12967989_4726_4730,eng-WL-11-174595-12967989_4665_4682,ryan,reese witherspoon,per:spouse,t
AFP_ENG_20071203.0645.LDC2009T13,222253,AFP_ENG_20071203.0645.LDC2009T13_248_259,AFP_ENG_20071203.0645.LDC2009T13_238_247,hugo chavez,president,per:title,t
AFP_ENG_20070525.0016.LDC2009T13,87979,AFP_ENG_20070525.0016.LDC2009T13_9120_9129,AFP_ENG_20070525.0016.LDC2009T13_9110_9119,hu jintao,president,per:title,t
APW_ENG_20080115.0650.LDC2009T13,272907,APW_ENG_20080115.0650.LDC2009T13_709_720,APW_ENG_20080115.0650.LDC2009T13_647_654,lee kun-hee,samsung,per:employee_or_member_of,t
eng-WL-11-174572-12946502,260580,eng-WL-11-174572-12946502_443_455,eng-WL-11-174572-12946502_460_473,heidi montag,spencer pratt,per:spouse,t
eng-WL-11-174583-12935669,75633,eng-WL-11-174583-12935669_39036_39038,eng-WL-11-174583-12935669_39031_39034,ge,nbc,org:subsidiaries,t
eng-WL-11-174595-12968146,238893,eng-WL-11-174595-12968146_10330_10343,eng-WL-11-174595-12968146_10361_10373,spencer pratt,heidi montag,per:spouse,t
eng-WL-11-174595-12967955,245451,eng-WL-11-174595-12967955_1486_1500,eng-WL-11-174595-12967955_1590_1602,britney spears,jamie spears,per:siblings,t
eng-WL-11-174643-13000465,108628,eng-WL-11-174643-13000465_409_420,eng-WL-11-174643-13000465_352_364,chris ivery,ellen pompeo,per:spouse,t
NYT_ENG_20080422.0012.LDC2009T13,229829,NYT_ENG_20080422.0012.LDC2009T13_3831_3834,NYT_ENG_20080422.0012.LDC2009T13_3784_3791,lee,samsung,per:employee_or_member_of,t
eng-NG-31-145468-10288986,289340,eng-NG-31-145468-10288986_1054_1058,eng-NG-31-145468-10288986_993_1008,tina,beyoncé knowles,per:children,t
APW_ENG_20070223.1432.LDC2009T13,153759,APW_ENG_20070223.1432.LDC2009T13_448_459,APW_ENG_20070223.1432.LDC2009T13_438_447,hugo chavez,president,per:title,t
AFP_ENG_20081215.0354.LDC2009T13,8750,AFP_ENG_20081215.0354.LDC2009T13_4692_4711,AFP_ENG_20081215.0354.LDC2009T13_4601_4610,pioneer investments,unicredit,org:parents,t
XIN_ENG_20080204.0157.LDC2009T13,8740,XIN_ENG_20080204.0157.LDC2009T13_387_396,XIN_ENG_20080204.0157.LDC2009T13_377_386,hu jintao,president,per:title,t
APW_ENG_20070216.1078.LDC2009T13,23136,APW_ENG_20070216.1078.LDC2009T13_3329_3340,APW_ENG_20070216.1078.LDC2009T13_3319_3328,hugo chavez,president,per:title,t
NYT_ENG_20070727.0186.LDC2009T13,87971,NYT_ENG_20070727.0186.LDC2009T13_903_914,NYT_ENG_20070727.0186.LDC2009T13_969_974,raul castro,fidel,per:siblings,t
eng-WL-11-174595-12967505,16201,eng-WL-11-174595-12967505_2530_2543,eng-WL-11-174595-12967505_2396_2410,janet jackson,jermaine dupri,per:spouse,t
NYT_ENG_20080422.0213.LDC2009T13,305836,NYT_ENG_20080422.0213.LDC2009T13_1666_1678,NYT_ENG_20080422.0213.LDC2009T13_1603_1606,lee jae-yong,lee,per:parents,t
eng-WL-11-174584-12964464,340524,eng-WL-11-174584-12964464_1927_1940,eng-WL-11-174584-12964464_1781_1786,molly malaney,jason,per:spouse,t
eng-WL-11-174595-12968244,127762,eng-WL-11-174595-12968244_7132_7149,eng-WL-11-174595-12968244_7180_7192,justin timberlake,jessica biel,per:spouse,t
APW_ENG_20070109.0784.LDC2009T13,229817,APW_ENG_20070109.0784.LDC2009T13_1016_1027,APW_ENG_20070109.0784.LDC2009T13_1069_1080,guy ritchie,david banda,per:children,t
eng-WL-11-174595-12968491,32438,eng-WL-11-174595-12968491_7506_7520,eng-WL-11-174595-12968491_7271_7291,angelina jolie,pax thien jolie-pitt,per:children,t
AFP_ENG_20080812.0393.LDC2009T13,36271,AFP_ENG_20080812.0393.LDC2009T13_1428_1442,AFP_ENG_20080812.0393.LDC2009T13_1418_1427,george w. bush,president,per:title,t
eng-WL-11-174643-13000465,108658,eng-WL-11-174643-13000465_435_447,eng-WL-11-174643-13000465_454_465,ellen pompeo,chris ivery,per:spouse,t
NYT_ENG_20070917.0134.LDC2009T13,278136,NYT_ENG_20070917.0134.LDC2009T13_6595_6606,NYT_ENG_20070917.0134.LDC2009T13_6572_6576,ban ki-moon,u.n.,per:employee_or_member_of,t
APW_ENG_20080902.0132.LDC2009T13,121631,APW_ENG_20080902.0132.LDC2009T13_2229_2243,APW_ENG_20080902.0132.LDC2009T13_2219_2228,george w. bush,president,per:title,t
eng-WL-11-174596-12951827,141015,eng-WL-11-174596-12951827_346_357,eng-WL-11-174596-12951827_375_384,hugo chávez,president,per:title,t
AFP_ENG_20070612.0483.LDC2009T13,140988,AFP_ENG_20070612.0483.LDC2009T13_481_492,AFP_ENG_20070612.0483.LDC2009T13_431_443,raul castro,fidel castro,per:siblings,t
eng-WL-11-174572-12949601,331685,eng-WL-11-174572-12949601_487_499,eng-WL-11-174572-12949601_517_530,heidi montag,spencer pratt,per:spouse,t
eng-WL-11-174594-12963735,305841,eng-WL-11-174594-12963735_185_190,eng-WL-11-174594-12963735_155_167,chris,ellen pompeo,per:spouse,t
eng-WL-11-174595-12967955,245417,eng-WL-11-174595-12967955_302_316,eng-WL-11-174595-12967955_321_336,britney spears,kevin federline,per:spouse,t
NYT_ENG_20080422.0213.LDC2009T13,305851,NYT_ENG_20080422.0213.LDC2009T13_944_947,NYT_ENG_20080422.0213.LDC2009T13_908_915,lee,samsung,per:employee_or_member_of,t
eng-WL-11-174584-12964309,75628,eng-WL-11-174584-12964309_1326_1330,eng-WL-11-174584-12964309_1315_1321,ryan,trista,per:spouse,t
XIN_ENG_20071022.0160.LDC2009T13,297280,XIN_ENG_20071022.0160.LDC2009T13_2728_2730,XIN_ENG_20071022.0160.LDC2009T13_2603_2612,hu,president,per:title,t
APW_ENG_20070317.0870.LDC2009T13,108664,APW_ENG_20070317.0870.LDC2009T13_2676_2689,APW_ENG_20070317.0870.LDC2009T13_2665_2674,rafael correa,president,per:title,t
eng-WL-11-174595-12968244,127773,eng-WL-11-174595-12968244_7786_7793,eng-WL-11-174595-12968244_7774_7780,jessica,justin,per:spouse,t
eng-WL-11-174595-12967958,319646,eng-WL-11-174595-12967958_9303_9312,eng-WL-11-174595-12967958_9333_9337,brad pitt,doug,per:siblings,t
LTW_ENG_20081120.0031.LDC2009T13,253961,LTW_ENG_20081120.0031.LDC2009T13_6111_6123,LTW_ENG_20081120.0031.LDC2009T13_5918_5930,tina knowles,sasha fierce,per:children,t
LTW_ENG_20080513.0059.LDC2009T13,185212,LTW_ENG_20080513.0059.LDC2009T13_6597_6604,LTW_ENG_20080513.0059.LDC2009T13_6640_6645,spencer,heidi,per:spouse,t
APW_ENG_20070105.1451.LDC2009T13,326020,APW_ENG_20070105.1451.LDC2009T13_550_572,APW_ENG_20070105.1451.LDC2009T13_589_611,sean preston federline,jayden james federline,per:siblings,t
XIN_ENG_20080224.0243.LDC2009T13,115295,XIN_ENG_20080224.0243.LDC2009T13_274_285,XIN_ENG_20080224.0243.LDC2009T13_346_358,raul castro,fidel castro,per:siblings,t
APW_ENG_20080528.0816.LDC2009T13,185198,APW_ENG_20080528.0816.LDC2009T13_564_575,APW_ENG_20080528.0816.LDC2009T13_521_532,david banda,guy ritchie,per:parents,t
APW_ENG_20080214.0681.LDC2009T13,185214,APW_ENG_20080214.0681.LDC2009T13_1892_1903,APW_ENG_20080214.0681.LDC2009T13_1869_1882,lee kun-hee,samsung group,per:employee_or_member_of,t
AFP_ENG_20070726.0706.LDC2009T13,127759,AFP_ENG_20070726.0706.LDC2009T13_260_271,AFP_ENG_20070726.0706.LDC2009T13_250_259,raul castro,president,per:title,t
AFP_ENG_20070522.0097.LDC2009T13,147086,AFP_ENG_20070522.0097.LDC2009T13_1400_1414,AFP_ENG_20070522.0097.LDC2009T13_1390_1399,vladimir putin,president,per:title,t
LTW_ENG_20080513.0059.LDC2009T13,185170,LTW_ENG_20080513.0059.LDC2009T13_3249_3254,LTW_ENG_20080513.0059.LDC2009T13_3259_3266,heidi,spencer,per:spouse,t
eng-WL-11-174594-12961460,153796,eng-WL-11-174594-12961460_871_881,eng-WL-11-174594-12961460_1010_1016,jamie lynn,mccomb,per:LOCATION_of_birth,t
AFP_ENG_20080116.0126.LDC2009T13,297287,AFP_ENG_20080116.0126.LDC2009T13_527_539,AFP_ENG_20080116.0126.LDC2009T13_610_619,fidel castro,president,per:title,t
eng-WL-107-174567-12931828,136347,eng-WL-107-174567-12931828_2583_2590,eng-WL-107-174567-12931828_2662_2677,britney,kevin federline,per:spouse,t
NYT_ENG_20070215.0067.LDC2009T13,26633,NYT_ENG_20070215.0067.LDC2009T13_7534_7548,NYT_ENG_20070215.0067.LDC2009T13_7494_7507,strom thurmond,paul thurmond,per:children,t
eng-WL-11-174572-12948053,222251,eng-WL-11-174572-12948053_556_568,eng-WL-11-174572-12948053_583_596,heidi montag,spencer pratt,per:spouse,t
NYT_ENG_20080226.0154.LDC2009T13,52,NYT_ENG_20080226.0154.LDC2009T13_5494_5499,NYT_ENG_20080226.0154.LDC2009T13_5378_5387,fidel,president,per:title,t
eng-WL-11-174595-12968424,8761,eng-WL-11-174595-12968424_2806_2813,eng-WL-11-174595-12968424_2734_2749,britney,kevin federline,per:spouse,t
LTW_ENG_20071009.0046.LDC2009T13,127748,LTW_ENG_20071009.0046.LDC2009T13_7184_7202,LTW_ENG_20071009.0046.LDC2009T13_7131_7140,mattachine society,harry hay,org:founded_by,t
eng-WL-11-174572-12948080,160805,eng-WL-11-174572-12948080_516_529,eng-WL-11-174572-12948080_499_511,spencer pratt,heidi montag,per:spouse,t
AFP_ENG_20070301.0578.LDC2009T13,75598,AFP_ENG_20070301.0578.LDC2009T13_437_449,AFP_ENG_20070301.0578.LDC2009T13_566_577,fidel castro,raul castro,per:siblings,t
AFP_ENG_20080711.0076.LDC2009T13,36234,AFP_ENG_20080711.0076.LDC2009T13_598_610,AFP_ENG_20080711.0076.LDC2009T13_252_261,fidel castro,president,per:title,t
eng-WL-11-174594-12961460,153757,eng-WL-11-174594-12961460_1045_1050,eng-WL-11-174594-12961460_1010_1016,jamie,mccomb,per:LOCATION_of_birth,t
eng-WL-11-174584-12964464,340482,eng-WL-11-174584-12964464_2642_2647,eng-WL-11-174584-12964464_2539_2544,molly,jason,per:spouse,t
